ID_Herramienta;ID_Encuestado;Plataforma (actual);Software utilizado;Framework -Librerias;Bases de Datos;QA-Testing
92;92;AIX, Azure, *BSD, Google Cloud Platform, Linux, Mainframe, Windows Server;Python;Ninguno de los anteriores;Microsoft SQL Server, Oracle, Percona XtraBackup, Percona XtraDB Cluster, Percona Server, PostgreSQL, ProxySQL, Sybase, Teradata;Ninguna de las anteriores
93;93;Salesforce;.NET, C#, HTML, Java, Javascript, SQL;Angular, React.js;IBM Db2;Postman, SoapUI
94;94;Azure, Windows Server;C#, SQL;.NET Core;IBM Db2, Microsoft SQL Server;Cypress
95;95;SAP, Power bi;Ninguno de los anteriores;Ninguno de los anteriores;IBM Db2, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Snowflake;Ninguna de las anteriores
96;96;Azure;.NET, C#, CSS, HTML, Javascript, SQL, TypeScript;.NET Core, Bootstrap, jQuery, React.js;Microsoft SQL Server;Ninguna de las anteriores
97;97;AIX, Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Windows Server;Bash/Shell;Node.js;IBM Db2, Microsoft SQL Server;Postman, SoapUI
98;98;Amazon Web Services, Azure, Docker, Kubernetes, Linux, Serverless, Windows Server;.NET, Bash/Shell, Javascript, PHP, SQL, TypeScript;.NET Core, Angular;ElasticSearch, Microsoft SQL Server, MySQL, PostgreSQL;Ninguna de las anteriores
99;99;Amazon Web Services, Docker, Kubernetes, Linux;Python;Ninguno de los anteriores;Redis;Ninguna de las anteriores
100;100;Amazon Web Services, Docker, Google Cloud Platform, OpenShift, Serverless;Python, TypeScript;Node.js;Ninguna de las anteriores;Ninguna de las anteriores
101;101;Ninguna de las anteriores;CSS, HTML, Java, TypeScript;Angular;Ninguna de las anteriores;Postman, SoapUI
102;102;Docker;Python, SQL;Ninguno de los anteriores;Amazon Redshift, MongoDB, MySQL, PostgreSQL;Ninguna de las anteriores
103;103;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
104;104;Azure, Linux, VMWare, Windows Server;Bash/Shell, HTML, Java, SQL, VBA, PowerShell;.NET Core, jQuery;Amazon HBase, Microsoft SQL Server, MongoDB;Ninguna de las anteriores
105;105;Linux, VMWare, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;MariaDB, MySQL;Ninguna de las anteriores
106;106;Amazon Web Services, Docker, Databricks;Bash/Shell, Python, SQL;Spark, FastAPI, Delta;Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL;Ninguna de las anteriores
107;107;Amazon Web Services, Docker, Kubernetes, Linux, Microcontroladores;Go, SQL;Ninguno de los anteriores;PostgreSQL;Ninguna de las anteriores
108;108;Docker;CSS, Dart, HTML, Java, Javascript, Kotlin, PHP, SQL;Bootstrap, Flutter, jQuery;Informix, MySQL;JUnit, PHPUnit
109;109;Amazon Web Services, Serverless;Javascript, TypeScript;Node.js, React.js;Amazon DynamoDB;Jest
110;110;Azure, Docker, Windows Server;CSS, HTML, Javascript, PHP, TypeScript;jQuery;Microsoft SQL Server, MySQL;Ninguna de las anteriores
111;111;Arduino o similar, Docker, Linux, Microcontroladores, VMWare, Windows Server, Electr—nica ;Arduino, HTML, Javascript, PHP, Python;Bootstrap, Flask, Ninguno de los anteriores;MySQL;Ninguna de las anteriores
112;112;Firebase;CSS, HTML, Javascript;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
113;113;Linux, Windows Server;Python;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
114;114;Amazon Web Services, Azure, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, OpenShift, Serverless;Bash/Shell, Python, R, Scala, SQL;Django, Flask, Hadoop, jQuery, Spark, TensorFlow;Amazon DynamoDB, Amazon Redshift, Amazon HBase, Apache Hive, Cassandra, ElasticSearch, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB, MySQL, PostgreSQL, SQLite, Teradata;Postman, Selenium
115;115;Ninguna de las anteriores;Java;Hibernate, Spring;Ninguna de las anteriores;Postman
116;116;VMWare, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
117;117;Docker, Google Cloud Platform;HTML, Javascript, SQL;Node.js, React.js;Google Cloud Storage, MySQL, Redis;Postman
118;118;Ninguna de las anteriores;CSS, HTML, Javascript;React.js;Microsoft SQL Server;Cypress, Jest
119;119;Amazon Web Services, Linux;SQL;Ninguno de los anteriores;Amazon Redshift, Amazon RDS/Aurora, HANA, MySQL;Ninguna de las anteriores
120;120;Azure, Linux;Python, SQL;Ninguno de los anteriores;Microsoft Azure (Tables, CosmosDB, SQL, etc);Ninguna de las anteriores
121;121;Docker, Kubernetes, Linux, VMWare;Python, SQL;Ninguno de los anteriores;PostgreSQL;Ninguna de las anteriores
122;122;Amazon Web Services, Docker;Javascript, SQL, TypeScript;Node.js;PostgreSQL;Postman
123;123;Ninguna de las anteriores;Swift;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
124;124;Azure, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
125;125;Azure, VMWare, Windows Server;.NET, C#, CSS, HTML, Javascript, SQL;.NET Core, Angular;Microsoft SQL Server, MongoDB;Xunit
126;126;Docker, Kubernetes, Linux;Java, Python;Ninguno de los anteriores;ElasticSearch, MariaDB, MySQL, PostgreSQL;Ninguna de las anteriores
127;127;Ninguna de las anteriores;Ninguno de los anteriores;Angular, Bootstrap, Flutter, WordPress;Ninguna de las anteriores;Ninguna de las anteriores
128;128;Arduino o similar, Docker, Linux;Bash/Shell, CSS, HTML, Javascript, Python;Vue.js;MariaDB, MySQL, PostgreSQL;Cypress, Jest
129;129;Amazon Web Services, Azure, Windows Server;Delphi, SQL;Ninguno de los anteriores;MySQL;Ninguna de las anteriores
130;130;Windows Server;.NET, C#, SQL, TypeScript;.NET Core, Angular;Microsoft SQL Server;Ninguna de las anteriores
131;131;Linux, OpenShift;Java, SQL, TypeScript;Angular, Spring, Quarkus;Microsoft SQL Server;Jest, JUnit, PiTest
132;132;Docker, VMWare, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Microsoft SQL Server, MongoDB, MySQL;Postman
133;133;Ninguna de las anteriores;Go, HTML, Java, PHP, Python, SQL, TypeScript;Bootstrap, Laravel, React.js, Vue.js;MongoDB, MySQL, SQLite;Ninguna de las anteriores
134;134;Docker, Linux, OpenStack, VMWare, Windows Server;HTML, Python, SQL;Bootstrap, Flask, jQuery;MariaDB;Ninguna de las anteriores
135;135;Ninguna de las anteriores;CSS, HTML, Java, Javascript;Node.js, React.js;Ninguna de las anteriores;Ninguna de las anteriores
136;136;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
137;137;Docker, Firebase, Google Cloud Platform, Linux;Bash/Shell, Python, SQL;Flask;Google Cloud Storage, MySQL;Postman, Selenium
138;138;Azure, Docker, Kubernetes, Linux, Windows Server;.NET, C#;.NET Core;ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, PostgreSQL;Ninguna de las anteriores
139;139;Ninguna de las anteriores;CSS, HTML, Javascript, TypeScript;Next.js, React.js;Ninguna de las anteriores;Ninguna de las anteriores
140;140;IBM Cloud / Watson, SAP;SQL;SAP;HANA, Microsoft SQL Server;Postman, Selenium, Visual Studio Coded UI
141;141;Amazon Web Services, Docker, Linux;CSS, HTML, Java, Javascript, SQL, TypeScript;Angular, Bootstrap;PostgreSQL;Cucumber, Cypress, JUnit, Karma
142;142;Ninguna de las anteriores;SQL;Ninguno de los anteriores;MySQL, PostgreSQL;Cucumber, Postman
143;143;Azure;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
144;144;Amazon Web Services, Google Cloud Platform, Vercel;Javascript, TypeScript;Next.js, Node.js, React.js;Amazon RDS/Aurora, PostgreSQL, Algolia;Cypress
145;145;Docker, Linux;CSS, HTML, Javascript, PHP, SQL;Bootstrap, jQuery, Laravel, Vue.js;MySQL, CockroachDB;Ninguna de las anteriores
146;146;Docker, Linux;Java, Javascript, Python;Bootstrap, React.js, Spring;Oracle;Ninguna de las anteriores
147;147;Azure, Linux;Bash/Shell, Python, SQL;Flask, Hadoop, Spark, TensorFlow, Torch;Teradata;Ninguna de las anteriores
148;148;Amazon Web Services, Docker, Linux;CSS, HTML, Javascript, PHP;Angular, Bootstrap, jQuery, React.js, Symfony;MySQL;Ninguna de las anteriores
149;149;Amazon Web Services, Docker, Linux, Serverless;Bash/Shell, CSS, HTML, Javascript, PHP, SQL, TypeScript;Angular, Bootstrap, Cordova, jQuery, Laravel, Symfony, Vue.js, WordPress;Amazon RDS/Aurora, MariaDB, MySQL, PostgreSQL, Redis;Cypress, PHPUnit, Postman
150;150;Teradata;SQL;Ninguno de los anteriores;Oracle;Ninguna de las anteriores
151;151;Ninguna de las anteriores;Java;Ninguno de los anteriores;MySQL;Ninguna de las anteriores
152;152;Docker, Kubernetes;Java, Javascript, SQL;Bootstrap, React.js, Spring;Oracle;JUnit
153;153;Amazon Web Services, Docker, Linux;Python, SQL;Spark, TensorFlow, Torch;Apache Hive, ElasticSearch, Teradata;Postman
154;154;Docker, Google Cloud Platform, Linux;CSS, Groovy, HTML, Java, Javascript, Kotlin, PHP, Python, SQL, TypeScript;Bootstrap, CodeIgniter, jQuery, Laravel, Spring, Vue.js, Grails, Micronaut;PostgreSQL;Cypress, Jest, JUnit, Postman
155;155;Qlim;Qlik;Qlik;Microsoft SQL Server, MySQL;Ninguna de las anteriores
156;156;bitbucket, Jira;Java, SQL;Ninguno de los anteriores;Microsoft SQL Server, PostgreSQL;Cucumber, Cypress, Postman, Selenium, Visual Studio Coded UI
157;157;Linux, VMWare;COBOL, CSS, HTML, Javascript, PHP, SQL;Bootstrap, jQuery, Laravel, Node.js, React.js, Vue.js;MySQL, PostgreSQL;Ninguna de las anteriores
158;158;Amazon Web Services, Azure, Docker;Javascript, TypeScript;Node.js;Ninguna de las anteriores;Jest
159;159;Windows Server;HTML, Javascript, PHP, SQL;Bootstrap, jQuery, Laravel, WordPress;Microsoft SQL Server, Oracle;Postman, Selenium
160;160;Amazon Web Services, Docker, Kubernetes, Linux, Windows Server;Java;Spring;ElasticSearch;JUnit
161;161;Amazon Web Services, Docker, Kubernetes;Bash/Shell, HTML, Javascript, Python, SQL, TypeScript;Django, React.js;PostgreSQL;Pytest
162;162;Linux, VMWare, Windows Server;Bash/Shell, SQL;Ninguno de los anteriores;PostgreSQL, Redis;Ninguna de las anteriores
163;163;SAP;Ninguno de los anteriores;SAP, Spark;IBM Db2;Ninguna de las anteriores
164;164;Firebase, Google Cloud Platform, Linux, Serverless, Windows Server;Bash/Shell, CSS, HTML, Javascript, SQL, TypeScript;Bootstrap, Next.js, Node.js, React.js;Google Cloud Storage, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL;Mocha, Postman
165;165;Ninguna de las anteriores;Ninguno de los anteriores;WordPress;Ninguna de las anteriores;Ninguna de las anteriores
166;166;Ninguna de las anteriores;Bash/Shell, Python, R, SQL;Ninguno de los anteriores;Oracle;Ninguna de las anteriores
167;167;Amazon Web Services, Docker, Linux, OpenShift;Javascript, Python;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
168;168;VMWare, Windows Server, Oracle, O365, Power BI;HTML;WordPress;MySQL;Ninguna de las anteriores
169;169;Amazon Web Services, Azure, Docker, Kubernetes, Linux, OpenShift, Windows Server;Bash/Shell, Python;Ninguno de los anteriores;Microsoft SQL Server;Ninguna de las anteriores
170;170;Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
171;171;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
172;172;Linux;Javascript;jQuery;Microsoft SQL Server, Percona XtraBackup;Postman
173;173;Windows Server;VBA;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
174;174;Amazon Web Services, Docker;Python;TensorFlow, Torch, HuggingFace;Ninguna de las anteriores;Ninguna de las anteriores
175;175;Amazon Web Services, Docker, Google Cloud Platform, Linux;HTML, Javascript, Python, TypeScript;Django, Node.js, React.js;PostgreSQL;Jest, Postman
176;176;Google Cloud Platform, Linux;Bash/Shell, SQL;Ninguno de los anteriores;Teradata;Ninguna de las anteriores
177;177;Azure, Google Cloud Platform, Linux;Bash/Shell, Python, SQL;Ninguno de los anteriores;Google Cloud Storage;Ninguna de las anteriores
178;178;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
179;179;Amazon Web Services, Docker, Kubernetes, Linux;Go, Java, Javascript, Python, TypeScript;Hibernate, Node.js, React.js;Amazon DynamoDB, ElasticSearch, MongoDB, MySQL, Oracle, PostgreSQL, Redis;Cucumber, Cypress, Jest, JUnit, Postman, SoapUI
180;180;OpenShift, Windows Server;.NET, C#, CSS, HTML, Javascript, SQL;.NET Core;Microsoft SQL Server;Postman
181;181;AIX, Azure, Docker, Linux;Bash/Shell, C, COBOL, Natural ;Ninguno de los anteriores;Adabas;Ninguna de las anteriores
182;182;SAP;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
183;183;Docker, Windows Server;.NET;.NET Core;SQLite;Ninguna de las anteriores
184;184;Amazon Web Services;Python;Ninguno de los anteriores;Amazon DynamoDB;Appium, Selenium
185;185;Ninguna de las anteriores;SQL;Ninguno de los anteriores;Amazon Redshift, Google Cloud Storage, MySQL;Ninguna de las anteriores
186;186;Amazon Web Services, Docker, Serverless;Java, SQL;Hibernate, Spring;Google Cloud Storage, MySQL;JUnit, Postman
187;187;Docker, Linux;CSS, HTML, Javascript, TypeScript;React.js, Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
188;188;Amazon Web Services, Google Cloud Platform;Python, R, SQL;Ninguno de los anteriores;Amazon Redshift, PostgreSQL;Ninguna de las anteriores
189;189;Amazon Web Services, Azure, Docker, Linux, Serverless, Windows Server;Bash/Shell, Java, Python, SQL;Ninguno de los anteriores;Amazon DynamoDB, Amazon RDS/Aurora, Microsoft SQL Server, MySQL, PostgreSQL, Redis;Ninguna de las anteriores
