ID_Trabajo;ID_Encuestado;Dedicacion;TIpo de contrato;Ultimo salario (bruto);Ultimo salario (Neto);Sueldo Dolarizado;Tipo de cambio;Actualizaciones en 2022;Ajuste acumulado;Ultimo ajuste;Trabajo de;Años de experiencia;Cantidad de compañeros;Modalidad;Seniority
14;14;Full-Time;Remoto (empresa de otro país);1500000;1500000;FALSE;0;No;0;No tuve;Data Engineer;2;De 51 a 100 personas;100% remoto;Junior
15;15;Full-Time;Staff (planta permanente);195000;161400;FALSE;0;Dos;100;Septiembre;Data Engineer;1.5;De 501 a 1000 personas;100% remoto;Junior
16;16;Full-Time;Staff (planta permanente);90000;76000;FALSE;0;Uno;17;Diciembre;Developer;0;De 501 a 1000 personas;100% remoto;Junior
17;17;Full-Time;Staff (planta permanente);296000;277000;FALSE;0;Dos;120;Octubre;Recruiter / HR;7;De 51 a 100 personas;100% remoto;Senior
18;18;Full-Time;Staff (planta permanente);420000;260000;FALSE;0;Mí¡s de tres;60;Noviembre;Developer;4;Mí¡s de 10000 personas;100% remoto;Semi-Senior
19;19;Full-Time;Staff (planta permanente);192300;160000;FALSE;0;Tres;60;Noviembre;Project Manager;2;De 11  a 50  personas;Hí?brido (presencial y remoto);Junior
20;20;Full-Time;Staff (planta permanente);215570;163457;FALSE;0;Tres;70;Diciembre;Consultant;2;Mí¡s de 10000 personas;100% remoto;Junior
21;21;Part-Time;Staff (planta permanente);120000;100000;FALSE;0;Dos;100;Noviembre;Developer;0;De 501 a 1000 personas;100% remoto;Junior
22;22;Full-Time;Tercerizado (trabajo a través de consultora o agencia);390000;319000;FALSE;0;Dos;40;Julio;Developer;20;De 1001 a 2000 personas;Hí?brido (presencial y remoto);Senior
23;23;Full-Time;Staff (planta permanente);302000;252000;FALSE;0;Dos;70;Octubre;Developer;4;De 101 a 200 personas;100% remoto;Semi-Senior
24;24;Full-Time;Staff (planta permanente);441000;281000;FALSE;0;Mí¡s de tres;94;Diciembre;Data Scientist;3;De 2001a 5000 personas;Hí?brido (presencial y remoto);Semi-Senior
25;25;Full-Time;Staff (planta permanente);260500;220500;FALSE;0;Tres;53;Octubre;Data Scientist;1;De 201 a 500 personas;100% remoto;Junior
26;26;Full-Time;Freelance;300000;290000;FALSE;0;Dos;60;Noviembre;Project Manager;20;De 11  a 50  personas;100% remoto;Senior
27;27;Full-Time;Staff (planta permanente);468000;313000;FALSE;0;Mí¡s de tres;85;Noviembre;Technical Leader;15;De 2001a 5000 personas;Hí?brido (presencial y remoto);Senior
28;28;Full-Time;Staff (planta permanente);1434000;934000;FALSE;0;Mí¡s de tres;;Diciembre;SysAdmin / DevOps / SRE;15;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Senior
29;29;Full-Time;Staff (planta permanente);600000;;FALSE;0;Tres;;Noviembre;Marketing Manager;4;De 51 a 100 personas;Hí?brido (presencial y remoto);Semi-Senior
30;30;Full-Time;Staff (planta permanente);500000;400000;FALSE;0;No;0;No tuve;Manager / Director;17;De 11  a 50  personas;Hí?brido (presencial y remoto);Senior
31;31;Full-Time;Staff (planta permanente);167000;144000;FALSE;0;Tres;;Noviembre;Developer;1;De 11  a 50  personas;100% remoto;Junior
32;32;Full-Time;Tercerizado (trabajo a través de consultora o agencia);426000;287000;FALSE;0;Dos;18;Noviembre;SysAdmin / DevOps / SRE;5;De 201 a 500 personas;100% remoto;Semi-Senior
33;33;Full-Time;Staff (planta permanente);175000;140;FALSE;0;Mí¡s de tres;90;Octubre;HelpDesk;7;De 101 a 200 personas;Hí?brido (presencial y remoto);Senior
34;34;Full-Time;Staff (planta permanente);164400;150000;FALSE;0;Uno;67;Septiembre;Developer;2;De 51 a 100 personas;100% remoto;Junior
35;35;Full-Time;Staff (planta permanente);323000;240000;FALSE;0;Tres;51;Noviembre;Product Manager;5;De 101 a 200 personas;100% remoto;Semi-Senior
36;36;Full-Time;Staff (planta permanente);160000;160000;FALSE;0;Dos;;Agosto;Recruiter / HR;2;De 51 a 100 personas;100% remoto;Junior
37;37;Full-Time;Staff (planta permanente);950000;850000;FALSE;0;Dos;;Noviembre;Architect;18;De 201 a 500 personas;Hí?brido (presencial y remoto);Senior
38;38;Full-Time;Staff (planta permanente);445000;295000;FALSE;0;No;0;Febrero;Developer;2;De 51 a 100 personas;Hí?brido (presencial y remoto);Junior
39;39;Full-Time;Staff (planta permanente);452000;291000;FALSE;0;Tres;75;Octubre;Infosec;10;De 2001a 5000 personas;100% remoto;Senior
40;40;Full-Time;Staff (planta permanente);372000;309000;FALSE;0;Uno;30;Octubre;BI Analyst / Data Analyst;6;De 201 a 500 personas;100% remoto;Senior
41;41;Full-Time;Tercerizado (trabajo a través de consultora o agencia);120000;120000;FALSE;0;Dos;;Octubre;Developer;1;De 11  a 50  personas;100% remoto;Junior
42;42;Full-Time;Staff (planta permanente);103682;91220;FALSE;0;Tres;40;Noviembre;Developer;6;De 51 a 100 personas;Hí?brido (presencial y remoto);Senior
43;43;Full-Time;Staff (planta permanente);1178000;750000;FALSE;0;Mí¡s de tres;40;Diciembre;SysAdmin / DevOps / SRE;8;Mí¡s de 10000 personas;100% remoto;Senior
44;44;Full-Time;Staff (planta permanente);230600;192598;FALSE;0;Dos;;Octubre;Project Manager;4;De 501 a 1000 personas;100% remoto;Semi-Senior
45;45;Full-Time;Remoto (empresa de otro país);576000;;FALSE;0;No;0;No tuve;Recruiter / HR;3;De 11  a 50  personas;100% remoto;Semi-Senior
46;46;Full-Time;Staff (planta permanente);600000;600000;FALSE;0;No;0;No tuve;Developer;2;De 201 a 500 personas;100% remoto;Junior
47;47;Full-Time;Tercerizado (trabajo a través de consultora o agencia);191354.11;155848.92;FALSE;0;Mí¡s de tres;63;Diciembre;BI Analyst / Data Analyst;1;Mí¡s de 10000 personas;100% remoto;Junior
48;48;Full-Time;Staff (planta permanente);350000;270000;FALSE;0;Dos;35;Noviembre;Developer;0;Mí¡s de 10000 personas;100% remoto;Junior
49;49;Full-Time;Remoto (empresa de otro país);940000;940000;FALSE;0;No;0;No tuve;Developer;15;De 2 a 10 personas;100% remoto;Senior
50;50;Full-Time;Staff (planta permanente);1012608;733712;FALSE;0;Mí¡s de tres;94;Noviembre;Developer;2;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Junior
51;51;Full-Time;Staff (planta permanente);315600;261950;FALSE;0;Dos;63;Septiembre;Technical Leader;7;De 11  a 50  personas;Hí?brido (presencial y remoto);Senior
52;52;Part-Time;Remoto (empresa de otro país);213000;180000;FALSE;0;No;0;Diciembre;Developer;0;De 11  a 50  personas;100% remoto;Junior
53;53;Full-Time;Staff (planta permanente);320000;498000;FALSE;0;Tres;30;Septiembre;Developer;1;De 101 a 200 personas;100% remoto;Junior
54;54;Full-Time;Staff (planta permanente);407000;280000;FALSE;0;Tres;65;Octubre;Developer;3;De 1001 a 2000 personas;100% remoto;Semi-Senior
55;55;Full-Time;Staff (planta permanente);1000000;600000;FALSE;0;Mí¡s de tres;94;Diciembre;Networking;7;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Senior
56;56;Full-Time;Staff (planta permanente);312592;372400;FALSE;0;Uno;33;Noviembre;BI Analyst / Data Analyst;4;Mí¡s de 10000 personas;100% remoto;Semi-Senior
57;57;Full-Time;Remoto (empresa de otro país);1600000;1400000;FALSE;0;No;0;No tuve;Head of Data & Analytics;6;De 501 a 1000 personas;100% remoto;Senior
58;58;Full-Time;Staff (planta permanente);1000000;550000;FALSE;0;Mí¡s de tres;94.1;Diciembre;Data Scientist;10;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Senior
59;59;Full-Time;Staff (planta permanente);353000;248000;FALSE;0;Mí¡s de tres;83;Diciembre;Developer;2;De 201 a 500 personas;Hí?brido (presencial y remoto);Junior
60;60;Full-Time;Staff (planta permanente);454000;254000;TRUE;168;Dos;5;Junio;Project Manager;10;Mí¡s de 10000 personas;100% remoto;Senior
61;61;Full-Time;Staff (planta permanente);246600;205500;FALSE;0;Mí¡s de tres;60;Octubre;Business Analyst;2;De 2001a 5000 personas;100% remoto;Junior
62;62;Full-Time;Staff (planta permanente);283000;230000;FALSE;0;Mí¡s de tres;;Diciembre;Data Engineer;3;De 2001a 5000 personas;Hí?brido (presencial y remoto);Semi-Senior
63;63;Full-Time;Staff (planta permanente);457000;;FALSE;0;Mí¡s de tres;96;Noviembre;UX Designer;2;De 2001a 5000 personas;100% remoto;Junior
64;64;Full-Time;Staff (planta permanente);100000;87000;FALSE;0;Uno;;Noviembre;Consultant;0;De 1001 a 2000 personas;100% remoto;Junior
65;65;Full-Time;Tercerizado (trabajo a través de consultora o agencia);267000;221698;FALSE;0;Dos;31;Diciembre;UX Designer;5;De 201 a 500 personas;100% remoto;Semi-Senior
66;66;Full-Time;Staff (planta permanente);270000;230000;FALSE;0;Tres;80;Noviembre;Developer;3;De 2001a 5000 personas;100% remoto;Semi-Senior
67;67;Full-Time;Staff (planta permanente);253000;193000;FALSE;0;Mí¡s de tres;165;Noviembre;QA / Tester;3;De 101 a 200 personas;100% remoto;Semi-Senior
68;68;Full-Time;Staff (planta permanente);248000;248000;TRUE;311;Dos;;Noviembre;Key account manager;2;De 11  a 50  personas;Hí?brido (presencial y remoto);Junior
69;69;Full-Time;Staff (planta permanente);465000;285;FALSE;0;Tres;85;Octubre;HelpDesk;15;Mí¡s de 10000 personas;100% remoto;Senior
70;70;Full-Time;Staff (planta permanente);230000;190000;TRUE;165;Tres;49;Noviembre;Developer;3;De 2001a 5000 personas;100% remoto;Semi-Senior
71;71;Full-Time;Staff (planta permanente);311000;265000;FALSE;0;Mí¡s de tres;65;Noviembre;Consultant;5;De 51 a 100 personas;Hí?brido (presencial y remoto);Semi-Senior
72;72;Full-Time;Staff (planta permanente);241000;200000;FALSE;0;Dos;17;Septiembre;QA / Tester;0;De 101 a 200 personas;Hí?brido (presencial y remoto);Junior
73;73;Full-Time;Tercerizado (trabajo a través de consultora o agencia);360600;304300;FALSE;0;Dos;45;Octubre;Technical Leader;16;De 201 a 500 personas;Hí?brido (presencial y remoto);Senior
74;74;Full-Time;Staff (planta permanente);644000;256000;FALSE;0;Tres;73;Noviembre;Architect;5;Mí¡s de 10000 personas;100% remoto;Semi-Senior
75;75;Full-Time;Staff (planta permanente);330000;240000;FALSE;0;Tres;50;Diciembre;Data Engineer;1;Mí¡s de 10000 personas;100% remoto;Junior
76;76;Full-Time;Staff (planta permanente);150000;120000;FALSE;0;Tres;;Noviembre;Developer;1;De 11  a 50  personas;100% remoto;Junior
77;77;Full-Time;Staff (planta permanente);690000;435000;FALSE;0;Mí¡s de tres;94;Noviembre;IT Governance Head;20;De 2001a 5000 personas;Hí?brido (presencial y remoto);Senior
78;78;Full-Time;Staff (planta permanente);453000;283000;FALSE;0;Mí¡s de tres;100;Noviembre;Developer;4;De 1001 a 2000 personas;Hí?brido (presencial y remoto);Semi-Senior
79;79;Full-Time;Staff (planta permanente);480000;350000;FALSE;0;No;0;No tuve;Developer;2;De 5001 a 10000 personas;100% remoto;Junior
80;80;Full-Time;Remoto (empresa de otro país);1100000;1000000;TRUE;310;No;0;No tuve;SysAdmin / DevOps / SRE;20;De 101 a 200 personas;100% remoto;Senior
81;81;Full-Time;Staff (planta permanente);325000;250000;FALSE;0;Mí¡s de tres;60;Noviembre;BI Analyst / Data Analyst;10;De 101 a 200 personas;100% presencial;Senior
82;82;Full-Time;Staff (planta permanente);91000;79000;FALSE;0;Mí¡s de tres;65;Noviembre;Developer;1;De 11  a 50  personas;Hí?brido (presencial y remoto);Junior
83;83;Full-Time;Staff (planta permanente);420000;282000;FALSE;0;Mí¡s de tres;;Noviembre;Manager / Director;8;De 201 a 500 personas;Hí?brido (presencial y remoto);Senior
84;84;Full-Time;Staff (planta permanente);300000;220000;TRUE;163;Dos;;Julio;Developer;10;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Senior
85;85;Full-Time;Staff (planta permanente);495000;414000;FALSE;0;Uno;10.5;Octubre;Developer;3;Mí¡s de 10000 personas;100% remoto;Semi-Senior
86;86;Part-Time;Staff (planta permanente);650000;440000;FALSE;0;Mí¡s de tres;95;Diciembre;Architect;3;De 2001a 5000 personas;Hí?brido (presencial y remoto);Semi-Senior
87;87;Full-Time;Staff (planta permanente);303000;256000;FALSE;0;Mí¡s de tres;66;Octubre;Developer;1;De 1001 a 2000 personas;100% remoto;Junior
88;88;Full-Time;Staff (planta permanente);218000;180000;FALSE;0;Uno;20;Septiembre;Ecommerce Manager;7;De 11  a 50  personas;100% presencial;Senior
89;89;Full-Time;Tercerizado (trabajo a través de consultora o agencia);218494;187559;FALSE;0;Tres;45;Octubre;Consultant;2;De 5001 a 10000 personas;100% remoto;Junior
90;90;Full-Time;Tercerizado (trabajo a través de consultora o agencia);221250;186128;FALSE;0;Tres;70;Noviembre;Automation Tester;3;De 11  a 50  personas;100% remoto;Semi-Senior
91;91;Full-Time;Staff (planta permanente);312000;523000;TRUE;161;No;0;Junio;Developer;2;Mí¡s de 10000 personas;100% remoto;Junior
92;92;Full-Time;Staff (planta permanente);262000;404000;FALSE;0;Dos;80;Noviembre;SysAdmin / DevOps / SRE;2;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Junior
93;93;Full-Time;Staff (planta permanente);320000;255000;FALSE;0;Dos;60;Septiembre;Developer;2;De 1001 a 2000 personas;100% remoto;Junior
94;94;Full-Time;Staff (planta permanente);400000;360000;FALSE;0;Mí¡s de tres;80;Julio;Data Engineer;5;De 101 a 200 personas;100% remoto;Semi-Senior
95;95;Full-Time;Staff (planta permanente);212000;180000;FALSE;0;Tres;40;Noviembre;BI Analyst / Data Analyst;1;Mí¡s de 10000 personas;100% remoto;Junior
96;96;Full-Time;Staff (planta permanente);400000;321000;FALSE;0;Dos;20;Octubre;Developer;6;De 11  a 50  personas;100% remoto;Senior
97;97;Full-Time;Staff (planta permanente);600000;450000;FALSE;0;Tres;91;Noviembre;Middleware;14;Mí¡s de 10000 personas;100% remoto;Senior
98;98;Full-Time;Staff (planta permanente);405000;295000;FALSE;0;Uno;5;Noviembre;SysAdmin / DevOps / SRE;5;De 501 a 1000 personas;100% remoto;Semi-Senior
99;99;Full-Time;Staff (planta permanente);395000;170000;TRUE;169;Tres;21;Noviembre;SysAdmin / DevOps / SRE;4;De 51 a 100 personas;100% remoto;Semi-Senior
100;100;Full-Time;Staff (planta permanente);860000;590000;FALSE;0;Dos;95;Julio;Project Manager;25;Mí¡s de 10000 personas;100% remoto;Senior
101;101;Full-Time;Staff (planta permanente);330000;282000;FALSE;0;Mí¡s de tres;93;Diciembre;Developer;3;De 501 a 1000 personas;100% remoto;Semi-Senior
102;102;Full-Time;Staff (planta permanente);523000;320000;TRUE;330;Mí¡s de tres;112;Septiembre;BI Analyst / Data Analyst;4;De 201 a 500 personas;100% remoto;Semi-Senior
103;103;Full-Time;Staff (planta permanente);862162;502673;FALSE;0;Mí¡s de tres;96;Diciembre;Manager / Director;16;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Senior
104;104;Full-Time;Staff (planta permanente);473000;289000;FALSE;0;Dos;;Septiembre;Technical Leader;17;De 1001 a 2000 personas;Hí?brido (presencial y remoto);Senior
105;105;Full-Time;Staff (planta permanente);440000;365000;FALSE;0;Uno;35;Noviembre;Manager / Director;34;De 2001a 5000 personas;Hí?brido (presencial y remoto);Senior
106;106;Full-Time;Staff (planta permanente);860000;550000;FALSE;0;Tres;44;Diciembre;Data Engineer;5;De 101 a 200 personas;100% remoto;Semi-Senior
107;107;Full-Time;Staff (planta permanente);300000;;TRUE;280;No;0;No tuve;SysAdmin / DevOps / SRE;2;De 11  a 50  personas;100% remoto;Junior
108;108;Full-Time;Staff (planta permanente);120000;;FALSE;0;Mí¡s de tres;30;Noviembre;Developer;1;De 11  a 50  personas;Hí?brido (presencial y remoto);Junior
109;109;Full-Time;Staff (planta permanente);282000;242000;FALSE;0;Dos;101;Septiembre;Developer;2;De 11  a 50  personas;100% remoto;Junior
110;110;Full-Time;Staff (planta permanente);420000;380000;FALSE;0;Tres;96;Noviembre;Developer;18;De 51 a 100 personas;Hí?brido (presencial y remoto);Senior
111;111;Full-Time;Staff (planta permanente);484000;310000;FALSE;0;Tres;96;Noviembre;AV tech;7;De 5001 a 10000 personas;Hí?brido (presencial y remoto);Senior
112;112;Full-Time;Staff (planta permanente);628230;277000;FALSE;0;Mí¡s de tres;;Diciembre;UX Designer;4;De 5001 a 10000 personas;Hí?brido (presencial y remoto);Semi-Senior
113;113;Part-Time;Tercerizado (trabajo a través de consultora o agencia);210000;;FALSE;0;Dos;20;Septiembre;Consultant;3;De 2 a 10 personas;100% remoto;Semi-Senior
114;114;Full-Time;Staff (planta permanente);450000;330000;FALSE;0;Mí¡s de tres;;Noviembre;Data Scientist;2;De 501 a 1000 personas;100% remoto;Junior
115;115;Full-Time;Staff (planta permanente);617978;452370;FALSE;0;Tres;94;Noviembre;Technical Leader;15;De 201 a 500 personas;100% remoto;Senior
116;116;Full-Time;Staff (planta permanente);270000;;FALSE;0;Mí¡s de tres;;Diciembre;HelpDesk;5;De 501 a 1000 personas;Hí?brido (presencial y remoto);Semi-Senior
117;117;Full-Time;Staff (planta permanente);72289;60000;FALSE;0;No;0;No tuve;Developer;0;De 2 a 10 personas;100% remoto;Junior
118;118;Full-Time;Staff (planta permanente);183344;152175;FALSE;0;Uno;;Octubre;Developer;0;De 501 a 1000 personas;100% remoto;Junior
119;119;Full-Time;Staff (planta permanente);357000;246000;FALSE;0;Dos;;Septiembre;SysAdmin / DevOps / SRE;3;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Semi-Senior
120;120;Full-Time;Staff (planta permanente);286000;236000;FALSE;0;Tres;70;Septiembre;BI Analyst / Data Analyst;2;Mí¡s de 10000 personas;100% remoto;Junior
121;121;Full-Time;Remoto (empresa de otro país);1050000;850000;FALSE;0;Uno;;Marzo;SysAdmin / DevOps / SRE;5;De 201 a 500 personas;100% remoto;Semi-Senior
122;122;Full-Time;Staff (planta permanente);212000;176000;FALSE;0;Tres;68;Noviembre;Developer;1;De 101 a 200 personas;100% remoto;Junior
123;123;Full-Time;Staff (planta permanente);750000;450000;FALSE;0;Mí¡s de tres;0;Diciembre;Developer;4;De 2001a 5000 personas;100% remoto;Semi-Senior
124;124;Full-Time;Staff (planta permanente);242000;203000;FALSE;0;Mí¡s de tres;94;Diciembre;SysAdmin / DevOps / SRE;15;De 201 a 500 personas;Hí?brido (presencial y remoto);Senior
125;125;Full-Time;Staff (planta permanente);650000;400000;FALSE;0;Mí¡s de tres;100;Noviembre;Developer;4;De 201 a 500 personas;100% remoto;Semi-Senior
126;126;Full-Time;Staff (planta permanente);170000;150000;FALSE;0;Uno;7;Noviembre;Developer;0;De 101 a 200 personas;100% remoto;Junior
127;127;Full-Time;Staff (planta permanente);230000;189500;FALSE;0;Dos;40;Octubre;UX Designer;2;De 201 a 500 personas;Hí?brido (presencial y remoto);Junior
128;128;Full-Time;Remoto (empresa de otro país);270000;250000;TRUE;315;No;0;No tuve;Developer;10;De 201 a 500 personas;100% remoto;Senior
129;129;Full-Time;Staff (planta permanente);523000;430000;FALSE;0;Dos;60;Noviembre;Coordinador TI;15;De 201 a 500 personas;100% presencial;Senior
130;130;Full-Time;Staff (planta permanente);120000;90000;FALSE;0;No;0;No tuve;Developer;0;De 2 a 10 personas;100% remoto;Junior
131;131;Full-Time;Staff (planta permanente);360000;300000;FALSE;0;Dos;20;Octubre;Developer;4;De 51 a 100 personas;100% remoto;Semi-Senior
132;132;Full-Time;Remoto (empresa de otro país);394065;;TRUE;315;No;0;No tuve;QA / Tester;1;De 1001 a 2000 personas;100% remoto;Junior
133;133;Full-Time;Staff (planta permanente);153000;126000;FALSE;0;Uno;23;Octubre;QA / Tester;2.5;De 101 a 200 personas;Hí?brido (presencial y remoto);Semi-Senior
134;134;Full-Time;Staff (planta permanente);590000;320000;FALSE;0;Mí¡s de tres;96;Diciembre;Architect;8;De 5001 a 10000 personas;Hí?brido (presencial y remoto);Senior
135;135;Full-Time;Staff (planta permanente);300000;260000;FALSE;0;Dos;20;Octubre;Developer;3;De 5001 a 10000 personas;100% remoto;Semi-Senior
136;136;Full-Time;Remoto (empresa de otro país);625000;;TRUE;169;Mí¡s de tres;;Diciembre;Product Manager;12;De 2 a 10 personas;100% remoto;Senior
137;137;Full-Time;Staff (planta permanente);450000;370000;FALSE;0;Tres;5000;Octubre;Data Engineer;12;De 11  a 50  personas;100% remoto;Senior
138;138;Full-Time;Staff (planta permanente);874000;655000;FALSE;0;Dos;60;Octubre;Architect;18;De 101 a 200 personas;Hí?brido (presencial y remoto);Senior
139;139;Full-Time;Staff (planta permanente);250000;203000;FALSE;0;Mí¡s de tres;20;Octubre;Developer;1;De 2001a 5000 personas;100% remoto;Junior
140;140;Full-Time;Tercerizado (trabajo a través de consultora o agencia);400000;320000;FALSE;0;Tres;80;Noviembre;QA / Tester;5;Mí¡s de 10000 personas;100% remoto;Semi-Senior
141;141;Full-Time;Staff (planta permanente);372000;312000;FALSE;0;Mí¡s de tres;72;Octubre;Developer;10;De 11  a 50  personas;100% remoto;Senior
142;142;Part-Time;Staff (planta permanente);73674;62650;FALSE;0;Tres;20;Noviembre;QA / Tester;0;De 51 a 100 personas;100% remoto;Junior
143;143;Full-Time;Tercerizado (trabajo a través de consultora o agencia);315000;274000;FALSE;0;Dos;18;Septiembre;Infosec;21;De 1001 a 2000 personas;Hí?brido (presencial y remoto);Senior
144;144;Full-Time;Remoto (empresa de otro país);1500000;1400000;TRUE;318;No;0;No tuve;Technical Leader;7;De 101 a 200 personas;100% remoto;Senior
145;145;Full-Time;Remoto (empresa de otro país);820000;700000;FALSE;0;Uno;14;Octubre;Developer;4;De 51 a 100 personas;100% remoto;Semi-Senior
146;146;Part-Time;Tercerizado (trabajo a través de consultora o agencia);160000;155000;FALSE;0;Dos;90;Octubre;Developer;0;De 51 a 100 personas;Hí?brido (presencial y remoto);Junior
147;147;Full-Time;Staff (planta permanente);472144;282.66;FALSE;0;Mí¡s de tres;85;Noviembre;Data Scientist;3;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Semi-Senior
148;148;Full-Time;Staff (planta permanente);150000;148000;FALSE;0;Tres;40;Octubre;FullStack;3;De 11  a 50  personas;Hí?brido (presencial y remoto);Semi-Senior
149;149;Full-Time;Staff (planta permanente);190000;180000;FALSE;0;Uno;31;Julio;SysAdmin / DevOps / SRE;16;De 101 a 200 personas;100% remoto;Senior
150;150;Full-Time;Tercerizado (trabajo a través de consultora o agencia);176000;149000;FALSE;0;Tres;40;Octubre;BI Analyst / Data Analyst;12;De 101 a 200 personas;Hí?brido (presencial y remoto);Senior
151;151;Part-Time;Tercerizado (trabajo a través de consultora o agencia);82000;65000;FALSE;0;Tres;0;Octubre;Technical Writer;1;De 1001 a 2000 personas;100% presencial;Junior
152;152;Full-Time;Staff (planta permanente);301204;250000;FALSE;0;Tres;0;Noviembre;Developer;6;De 1001 a 2000 personas;100% remoto;Senior
153;153;Full-Time;Staff (planta permanente);293000;250000;FALSE;0;Uno;;Octubre;Data Scientist;0;Mí¡s de 10000 personas;100% remoto;Junior
154;154;Full-Time;Staff (planta permanente);700000;700000;FALSE;0;No;0;No tuve;Technical Leader;15;De 11  a 50  personas;100% remoto;Senior
155;155;Full-Time;Staff (planta permanente);500000;300800;FALSE;0;Tres;30;Octubre;BI Analyst / Data Analyst;12;De 101 a 200 personas;100% remoto;Senior
156;156;Full-Time;Staff (planta permanente);112320;;FALSE;0;Tres;72;Octubre;QA / Tester;1;De 51 a 100 personas;Hí?brido (presencial y remoto);Junior
157;157;Full-Time;Freelance;400000;350000;FALSE;0;Mí¡s de tres;60;Noviembre;Developer;3;De 2 a 10 personas;Hí?brido (presencial y remoto);Semi-Senior
158;158;Full-Time;Remoto (empresa de otro país);1220000;1220000;TRUE;305;Uno;25;Enero;Developer;5;De 51 a 100 personas;100% remoto;Semi-Senior
159;159;Full-Time;Staff (planta permanente);420000;320000;FALSE;0;Tres;40;Diciembre;Project Manager;15;De 11  a 50  personas;Hí?brido (presencial y remoto);Senior
160;160;Full-Time;Staff (planta permanente);600000;550000;FALSE;0;No;0;No tuve;Developer;20;De 11  a 50  personas;100% remoto;Senior
161;161;Full-Time;Remoto (empresa de otro país);1200000;1200000;TRUE;4000;No;0;No tuve;Developer;7;De 51 a 100 personas;100% remoto;Senior
162;162;Full-Time;Staff (planta permanente);280000;242000;FALSE;0;Mí¡s de tres;70;Octubre;SysAdmin / DevOps / SRE;1;De 11  a 50  personas;100% presencial;Junior
163;163;Full-Time;Staff (planta permanente);280000;220000;FALSE;0;Dos;20;Septiembre;Micro informí¡tica;25;De 1001 a 2000 personas;100% presencial;Senior
164;164;Full-Time;Staff (planta permanente);120000;115000;FALSE;0;Tres;0;Noviembre;Developer;1;De 2 a 10 personas;100% presencial;Junior
165;165;Full-Time;Staff (planta permanente);295000;295000;FALSE;0;Uno;;Noviembre;UX Designer;5;De 11  a 50  personas;Hí?brido (presencial y remoto);Semi-Senior
166;166;Full-Time;Staff (planta permanente);950000;680000;FALSE;0;Mí¡s de tres;40;Noviembre;Data Reliability Engineer;5;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Semi-Senior
