ID_Encuestado;Lugar de trabajo;;Genero;Nacimiento;Fecha encuesta
125;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;15/11/2022
126;Argentina;San Juan;Hombre Cis;1997;13/11/2022
127;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1995;3/10/2022
128;Argentina;Buenos Aires;Hombre Cis;1989;4/11/2022
129;Argentina;Chubut;Hombre Cis;1981;2/10/2022
130;Argentina;Corrientes;Hombre Cis;2001;5/10/2022
131;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1995;4/10/2022
132;Argentina;Corrientes;Hombre Cis;1998;18/10/2022
133;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2001;19/10/2022
134;Argentina;Ciudad Autónoma de Buenos Aires;;1989;10/11/2022
135;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1996;25/10/2022
136;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1991;21/10/2022
137;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1986;27/10/2022
138;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1975;16/10/2022
139;Argentina;Buenos Aires;Hombre Cis;1998;5/10/2022
140;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1981;2/10/2022
141;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1991;18/10/2022
142;Argentina;Chaco;Hombre Cis;1996;28/10/2022
143;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1983;3/10/2022
144;Argentina;Buenos Aires;Hombre Cis;1995;2/10/2022
145;Argentina;Buenos Aires;Hombre Cis;1991;12/11/2022
146;Argentina;Buenos Aires;Hombre Cis;2003;4/10/2022
147;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1993;4/11/2022
148;Argentina;Mendoza;Mujer Cis;1999;10/10/2022
149;Argentina;Misiones;Hombre Cis;1982;23/10/2022
150;Argentina;Córdoba;;1993;3/11/2022
151;Argentina;Córdoba;Hombre Cis;1987;24/10/2022
152;Argentina;Córdoba;Hombre Cis;1981;1/10/2022
153;Argentina;Mendoza;Hombre Cis;2000;6/11/2022
154;Argentina;Córdoba;Hombre Cis;1986;14/11/2022
155;Argentina;Buenos Aires;Mujer Cis;1988;5/11/2022
156;Argentina;Buenos Aires;Hombre Cis;1999;22/10/2022
157;Argentina;Buenos Aires;Mujer Cis;1995;4/11/2022
158;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1994;1/11/2022
159;Argentina;Misiones;;1979;6/10/2022
160;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1980;18/10/2022
161;Argentina;Córdoba;Hombre Cis;1995;8/10/2022
162;Argentina;Buenos Aires;Hombre Cis;1995;9/10/2022
163;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1974;2/11/2022
164;Argentina;Córdoba;Hombre Cis;2002;9/10/2022
165;Argentina;Córdoba;Prefiero No Decir;1984;1/10/2022
166;Argentina;Neuquén;Hombre Cis;1989;5/10/2022
167;Argentina;Buenos Aires;Prefiero No Decir;1985;4/11/2022
168;Argentina;Buenos Aires;Prefiero No Decir;1996;15/11/2022
169;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;22/10/2022
170;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1992;1/11/2022
171;Argentina;Ciudad Autónoma de Buenos Aires;Prefiero No Decir;1992;15/10/2022
172;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1989;13/10/2022
173;Argentina;Buenos Aires;Hombre Cis;2002;11/10/2022
174;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1998;19/10/2022
175;Argentina;Salta;Hombre Cis;1993;2/11/2022
176;Argentina;Ciudad Autónoma de Buenos Aires;Prefiero No Decir;1989;22/10/2022
177;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2001;22/10/2022
178;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;19/10/2022
179;Argentina;Ciudad Autónoma de Buenos Aires;;1986;24/10/2022
180;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1986;19/10/2022
181;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1978;17/10/2022
182;Argentina;Buenos Aires;Hombre Cis;1992;24/10/2022
183;Argentina;Córdoba;Prefiero No Decir;1979;27/10/2022
184;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1993;4/11/2022
185;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1994;23/10/2022
186;Argentina;Córdoba;Hombre Cis;1994;3/10/2022
187;Argentina;Santa Fe;Hombre Cis;1994;12/10/2022
188;Argentina;Córdoba;Mujer Cis;1999;5/10/2022
189;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;1/10/2022
190;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1999;11/10/2022
191;Argentina;Ciudad Autónoma de Buenos Aires;Prefiero No Decir;1993;13/11/2022
192;Argentina;Ciudad Autónoma de Buenos Aires;Prefiero No Decir;1981;21/10/2022
193;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1997;13/10/2022
194;Argentina;Córdoba;Hombre Cis;2001;15/11/2022
195;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1974;19/10/2022
196;Argentina;Buenos Aires;Mujer Cis;1997;15/11/2022
197;Argentina;Ciudad Autónoma de Buenos Aires;;1995;3/11/2022
198;Argentina;Buenos Aires;Hombre Cis;1995;2/10/2022
199;Argentina;Misiones;Hombre Cis;1989;1/10/2022
200;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1980;28/10/2022
201;Argentina;Santa Fe;Hombre Cis;1994;5/11/2022
202;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1997;18/10/2022
203;Argentina;Buenos Aires;Hombre Cis;1990;8/11/2022
204;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1993;10/10/2022
205;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1979;27/10/2022
206;Argentina;Buenos Aires;Hombre Cis;1993;20/10/2022
207;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2002;13/10/2022
208;Argentina;Buenos Aires;Hombre Cis;1969;10/11/2022
209;Argentina;Santa Fe;Hombre Cis;1987;13/10/2022
210;Argentina;Salta;Hombre Cis;1976;1/10/2022
211;Argentina;Ciudad Autónoma de Buenos Aires;;1986;5/11/2022
212;Argentina;Santa Fe;Hombre Cis;2000;14/10/2022
213;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1983;10/11/2022
214;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1995;2/11/2022
215;Argentina;Buenos Aires;Hombre Cis;1994;2/10/2022
216;Argentina;Tucumí¡n;Hombre Cis;1999;4/11/2022
217;Argentina;Buenos Aires;Mujer Cis;1985;15/11/2022
218;Argentina;Buenos Aires;Mujer Cis;1981;6/10/2022
219;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1990;22/10/2022
220;Argentina;San Juan;Prefiero No Decir;1994;26/10/2022
221;Argentina;Corrientes;Hombre Cis;1974;1/11/2022
222;Argentina;Buenos Aires;Hombre Cis;1998;7/10/2022
223;Argentina;Córdoba;Hombre Cis;1997;2/10/2022
224;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;22/10/2022
225;Argentina;Buenos Aires;Hombre Cis;1995;6/11/2022
226;Argentina;Buenos Aires;Hombre Cis;2000;10/11/2022
227;Argentina;Buenos Aires;Hombre Cis;1998;12/11/2022
228;Argentina;Mendoza;;1997;20/10/2022
229;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1970;19/10/2022
230;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2002;3/11/2022
231;Argentina;Buenos Aires;Hombre Cis;1989;1/10/2022
232;Argentina;Entre Rí?os;Hombre Cis;1999;6/10/2022
233;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Trans;1997;3/10/2022
234;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1986;12/10/2022
235;Argentina;Buenos Aires;Hombre Cis;2000;1/11/2022
236;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;17/10/2022
237;Argentina;Ciudad Autónoma de Buenos Aires;Prefiero No Decir;1986;9/10/2022
238;Argentina;Buenos Aires;Hombre Cis;1997;7/10/2022
239;Argentina;Córdoba;Hombre Cis;1982;19/10/2022
240;Argentina;Buenos Aires;Hombre Cis;1994;30/10/2022
241;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2001;10/10/2022
242;Argentina;Rí?o Negro;Hombre Cis;1993;24/10/2022
243;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2003;10/10/2022
244;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1980;23/10/2022
245;Argentina;Buenos Aires;Hombre Cis;2001;21/10/2022
246;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1997;24/10/2022
247;Argentina;Córdoba;Hombre Cis;1977;7/11/2022
248;Argentina;Ciudad Autónoma de Buenos Aires;;1990;2/11/2022
249;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1979;7/10/2022
250;Argentina;Buenos Aires;Hombre Cis;2005;26/10/2022
251;Argentina;Buenos Aires;Hombre Cis;2000;29/10/2022
252;Argentina;Santa Fe;Mujer Cis;1986;2/11/2022
253;Argentina;Ciudad Autónoma de Buenos Aires;;1991;2/11/2022
254;Argentina;Buenos Aires;Hombre Cis;1985;14/11/2022
255;Argentina;Córdoba;Hombre Cis;1999;7/10/2022
256;Argentina;Buenos Aires;Hombre Cis;1995;2/10/2022
257;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;5/10/2022
258;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;5/10/2022
259;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;14/10/2022
260;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1992;11/10/2022
261;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1989;15/11/2022
262;Argentina;Ciudad Autónoma de Buenos Aires;;2001;22/10/2022
263;Argentina;Buenos Aires;Mujer Cis;1994;12/11/2022
264;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1975;25/10/2022
265;Argentina;Buenos Aires;Hombre Cis;1994;31/10/2022
266;Argentina;Buenos Aires;Hombre Cis;1994;11/11/2022
267;Argentina;Ciudad Autónoma de Buenos Aires;No Binarie;1995;1/10/2022
268;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1986;1/11/2022
269;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1989;13/11/2022
270;Argentina;Buenos Aires;Hombre Cis;1988;11/11/2022
271;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2002;8/11/2022
272;Argentina;Buenos Aires;Hombre Cis;1989;12/11/2022
273;Argentina;Buenos Aires;Hombre Cis;1987;25/10/2022
274;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;5/11/2022
275;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1989;26/10/2022
276;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2002;13/10/2022
277;Argentina;Entre Rí?os;Hombre Cis;1991;8/11/2022
278;Argentina;Buenos Aires;Hombre Cis;1996;8/11/2022
279;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1985;10/10/2022
280;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1997;16/10/2022
281;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;23/10/2022
282;Argentina;Córdoba;Hombre Cis;1993;20/10/2022
283;Argentina;Buenos Aires;Hombre Cis;2000;29/10/2022
284;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1984;25/10/2022
285;Argentina;Buenos Aires;Hombre Cis;1974;15/11/2022
286;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1997;11/10/2022
287;Argentina;Buenos Aires;;1974;10/11/2022
288;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1992;24/10/2022
289;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1995;8/10/2022
290;Argentina;Corrientes;Hombre Cis;1984;8/11/2022
291;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1988;1/10/2022
292;Argentina;Buenos Aires;Hombre Cis;2004;5/11/2022
293;Argentina;Corrientes;Hombre Cis;1981;15/11/2022
294;Argentina;Córdoba;Hombre Cis;1973;1/10/2022
295;Argentina;Ciudad Autónoma de Buenos Aires;;1025;10/11/2022
296;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1994;14/11/2022
297;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1979;17/10/2022
298;Argentina;Córdoba;Prefiero No Decir;1995;10/11/2022
299;Argentina;Santa Fe;Mujer Cis;1998;7/10/2022
300;Argentina;Santa Fe;;1997;14/10/2022
301;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1989;12/10/2022
302;Argentina;Buenos Aires;Hombre Cis;2002;18/10/2022
303;Argentina;Córdoba;Mujer Cis;1993;9/11/2022
304;Argentina;Jujuy;Hombre Cis;1987;6/10/2022
305;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1997;13/10/2022
306;Argentina;Ciudad Autónoma de Buenos Aires;;1984;31/10/2022
307;Argentina;Ciudad Autónoma de Buenos Aires;;1989;9/10/2022
308;Argentina;Buenos Aires;Hombre Cis;1984;5/11/2022
309;Argentina;Santa Fe;Hombre Cis;1985;27/10/2022
310;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;6/10/2022
311;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1984;13/11/2022
312;Argentina;Buenos Aires;Hombre Cis;1997;7/10/2022
313;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1998;23/10/2022
314;Argentina;Buenos Aires;Hombre Cis;1982;24/10/2022
315;Argentina;Buenos Aires;Hombre Cis;1990;31/10/2022
316;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;2001;27/10/2022
317;Argentina;Buenos Aires;Hombre Cis;1998;20/10/2022
318;Argentina;Buenos Aires;Hombre Cis;1982;20/10/2022
319;Argentina;Mendoza;Hombre Cis;1985;6/11/2022
320;Argentina;Mendoza;Hombre Cis;1996;10/10/2022
321;Argentina;Tucumí¡n;;1999;4/11/2022
322;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1981;25/10/2022
323;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1993;19/10/2022
324;Argentina;Buenos Aires;Hombre Cis;1992;8/11/2022
325;Argentina;Buenos Aires;;1981;24/10/2022
326;Argentina;Buenos Aires;Hombre Cis;2001;1/10/2022
327;Argentina;Buenos Aires;Hombre Cis;1970;7/11/2022
328;Argentina;Buenos Aires;Mujer Cis;1996;11/10/2022
329;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2001;10/10/2022
330;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1965;20/10/2022
331;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1995;30/10/2022
332;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;29/10/2022
333;Argentina;Santa Fe;Hombre Cis;1996;11/11/2022
334;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1997;15/10/2022
335;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1988;5/11/2022
336;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1979;23/10/2022
337;Argentina;Córdoba;Hombre Cis;1998;1/10/2022
338;Argentina;Buenos Aires;Hombre Cis;1981;9/11/2022
339;Argentina;Córdoba;Mujer Cis;1998;11/10/2022
340;Argentina;Santa Fe;Hombre Cis;1983;19/10/2022
341;Argentina;Santa Fe;Hombre Cis;1984;21/10/2022
342;Argentina;Buenos Aires;Hombre Cis;1998;19/10/2022
343;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2001;27/10/2022
344;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1999;18/10/2022
345;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1991;15/11/2022
346;Argentina;Santa Fe;Hombre Cis;1998;21/10/2022
347;Argentina;Buenos Aires;Hombre Cis;1996;6/10/2022
348;Argentina;Buenos Aires;Hombre Cis;1997;31/10/2022
349;Argentina;Mendoza;;1995;18/10/2022
350;Argentina;Córdoba;Hombre Cis;1977;25/10/2022
351;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1995;22/10/2022
352;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1987;30/10/2022
353;Argentina;Misiones;Hombre Cis;1998;1/11/2022
354;Argentina;Córdoba;Hombre Cis;1995;20/10/2022
355;Argentina;Buenos Aires;Hombre Cis;1993;11/10/2022
356;Argentina;Buenos Aires;Hombre Cis;2002;25/10/2022
357;Argentina;Buenos Aires;Hombre Cis;1993;22/10/2022
358;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;1/11/2022
359;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2004;16/10/2022
360;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2003;21/10/2022
361;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1987;24/10/2022
362;Argentina;Salta;Hombre Cis;1974;13/10/2022
363;Argentina;Salta;Mujer Cis;1981;7/11/2022
364;Argentina;Santa Fe;Hombre Cis;1982;29/10/2022
365;Argentina;Salta;Hombre Trans;1989;14/11/2022
366;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1994;26/10/2022
367;Argentina;Buenos Aires;Hombre Cis;1981;9/11/2022
368;Argentina;Córdoba;Hombre Cis;1993;11/10/2022
369;Argentina;Buenos Aires;Mujer Cis;1989;28/10/2022
370;Argentina;Salta;Prefiero No Decir;1989;4/10/2022
371;Argentina;Misiones;Hombre Cis;1994;6/11/2022
372;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;17/10/2022
373;Argentina;Santa Fe;Hombre Cis;1998;15/10/2022
