ID_Programa;ID_Encuestado;Participacion;Estudio realizado
130;209;Coder House y Egg;Javascript y Full stack developer
131;210;Mujeres en Tecnologí?a;Data Science
131;211;(No pude elegir universidad porque UNSa no aparece en la lista anterior);
131;212;No;
132;213;coder house y utn e-learning;coderhouse: data analyst y data science. UTN: machine learning
133;214;no;no
134;215;No;No
134;216;no;
135;217;Educación IT;Data Science
136;218;NUCBA;Desarrollo Full Stack
136;219;no;
136;220;no;
136;221;NO;
137;222;Sí?;Web Full Stack
137;223;no;
137;224;0;
137;225;No;
138;226;Digital House;Programación Web Full Stack
138;227;No;
138;228;No. Mi facultad fue la Facultad de Ingenierí?a del Ejército (FIE, ex EST) ;
138;229;No;
139;230;Coderhouse;Desarrollo Full Stack
140;231;;Educacion IT
141;232;EducaciónIT;Ciencia de Datos
141;233;No;
142;234;UTN, CoderHouse;Fullstack, Frontend
143;235;No;No
143;236;no;
143;237;Alkemy pero en otro stack que no me interesaba;
144;238;Salesforce;Adminastracion Salesforce
145;239;Henry;Fullstack development
145;240;SAP;
145;241;No;
146;242;Valtech;V_Camp
147;243;Neoris;Testing Lab
147;244;no;
148;245;BootCamp MercadoLibre;BootCamp MercadoLibre
149;246;Becas control f;Java developer
150;247;El de ingreso a la empresa;DigitalHouse Java
151;248;Digital House;Full Stack
151;249;No;
151;250;No;
151;251;No;
152;252;Coderhouse;Data Aalytics
153;253;no;no
154;254;Rooftop;Swift
154;255;No;
155;256;Mercadolibre;Tecnico en programacion
156;257;No;No
156;258;Universidad de master: ENIIT;
157;259;MeT Camp;Data Analyst
158;260;MET mujeres en tecnologí?a / Service Design Club;Metcamp uxui(MET) / Maratón UI (SDC)
158;261;Alkemy;
159;262;Digitalhouse;Programador Web Full Stack
160;263;Henry;FullStack developer
161;264;Coder House;Diseí±o UX/UI
161;265;Accenture Big Data;
162;266;;nn
162;267;No;
162;268;No;
163;269;Globant;Frontend
163;270;No;
164;271;Alkemy;Frontend React
165;272;Coderhouse;Carrera de Desarrollo UX/UI
166;273;Comunidad IT;Desarrollo de aplicaciones moviles
166;274;no;
167;275;Alkemy;Técnicatura Universitaria en Programación
168;276;Henry y Egg;Full stack developer
169;277;Digital House;Certified Tech Developer
169;278;no;
169;279;no;
170;280;Gobierno de la Ciudad de Buenos Aires;Tecnico en programacion
170;281;No;
170;282;no;
171;283;;Licenciatura en sistemas (grado), Analista de sistemas, Programador universitario
171;284;No;
172;285;Comunidad IT;desarrollador mobile
172;286;No;
173;287;Service design club;Diseí±o ux ui
174;288;Digital House - Fundación Formar;FullStack NodeJs
175;289;Digital House;Programación Full Stack
176;290;Educacion IT;Java
176;291;No;
176;292;No;
177;293;Google Foundation;Enginner CLoud
178;294;Alkemy;Aceleración Job ready
179;295;No;No
179;296;No;
179;297;No;
180;298;no;no
180;299;No;
181;300;junior achievement y fundación forge;Soporte en tecnologí?as de la información y qa tester manual
182;301;no;no
183;302;soyHenry;Full Stack Web Developer
183;303;No;
184;304;Coderhouse, Acamica;SQL, Data Science
185;305;MELI;Frontend
186;306;MeT UX/UI [Mujeres en Tecnologí?a];UX/UI
187;307;no;no
188;308;Codo a Codo - Gobierno de La Ciudad de Bs As;Desarrollo Web Full Stack con lenguaje Python
188;309;no;
189;310;Mindhub;Desarrollo web fullstack
189;311;nope;
189;312;No;
189;313;No;
189;314;No;
189;315;NO;
190;316;Rocketseat;React, RN, Node, Typescript
191;317;Digital House;Programación Full Stack
192;318;Ada;Desarrolladora Front end
193;319;Digital house;Programador web full stack
193;320;NO;
193;321;No;
194;322;No;No
194;323;Radium Rocket;
195;324;Plataforma 5;Full stack web developer
196;325;No;No
197;326;no;no
198;327;Escuela Argentina de Nuevas Tecnologí?as;Desarrollo Full Stack
199;328;SoyHenry;Fullstack developer
200;329;Ada;Programación frontend
201;330;Digital House;Certified Tech Developer
202;331;Soy Henry;Web development bootcamp
202;332;No;
203;333;Soy Henry;Full Stack Developer
204;334;No;No
204;335;No;
204;336;NO;
204;337;NO;
205;338;Quark;Ingenieria en desarrollo de videojuegos
206;339;Codo a codo;Full stack python
207;340;COREBI Data & Analytics;Looker Academy
208;341;NO;NO
209;342;Freecodecamp;Path frontend
209;343;no;
210;344;HENRY, NUCBA;FULL STACK
211;345;ComunidadIT;Introducción a la programación
212;346;Salesforce;Salesforce Admionistrator
212;347;No;
213;348;open bootcamp;carrera de java
213;349;No;
213;350;no;
214;351;Egg Cooperation;Full Stack Developer
215;352;Coderhouse;Desarrollo Full-Stack
215;353;No;
215;354;No;
215;355;No;
216;356;no;no
217;357;EducacionIT;DevOps
217;358;NO;
217;359;No;
218;360;Ací¡mica;Desarrollo Full Stack
219;361;Alkemy;Fullstack JavaScript
220;362;No;No
221;363;no;no
221;364;No;
222;365;Undefined School;Desarrollo Web Fullstack
223;366;AyiGroup - AyiAcademy;ANGULAR
223;367;no;
224;368;SAP;HANA
224;369;No;
225;370;No;No
225;371;no;
226;372;Alkemy;Data Analytics
226;373;No;
227;374;Coder-house;Backend dev
227;375;0;
228;376;no;-
229;377;Alkemy;Backend NodeJs
230;378;Si en Globant;Fue un curso intensivo acerca de Java con spring
230;379;Aun no;
231;380;;UNAHUR
231;381;No;
232;382;SAP;Licenciatura en Relaciones Internacionales
233;383;Codo a Codo / Udemy;Java Front end / Swift
234;384;Latinas Code Camp;Diseí±o UX/UI
235;385;EGG, Codo a Codo;Programación full stack
236;386;no;no
237;387;ADA itw;desarrollo Frontend
237;388;no;
238;389;Codo a Codo;Full stack
238;390;No;
238;391;no;
239;392;no;no
240;393;Estoy por participar en Henry;La carrera que voy a hacer es Web Full Stack
240;394;no;
241;395;Henry;Programación Full Stack
242;396;ACAMICA;Desarrollo Web Full Stack
243;397;Coderhouse;Diseí±o UX/UI, Diseí±o UI, Desarrollo Web, Javascript
244;398;Neoris;Automatizacion de Testing
245;399;Globant, Neoris;Google Developers en Globant y en Neoris no tení?a nombre.
245;400;no;
246;401;ADA;Programación Frontend
246;402;No;
247;403;Accenture;Salesforce
248;404;Educación IT;Full stack Javascript Developer
248;405;No;
249;406;no;no
249;407;No;
250;408;Naranja X;Ingenierí?a en Sistemas de Información
250;409;NO;
251;410;alkemy;aceleración en Reactjs
252;411;no;no
253;412;Acamica;Desarrollo web full stack
254;413;no;no
255;414;Digital House;Certified Tech Developer
256;415;Educación IT, Coderhouse, Course IT;React.js, Next.js
257;416;Rolling Code;Bootcamp lowcode
257;417;Si;
257;418;No;
258;419;CodeHouse;Programado fullStack
259;420;no;-
259;421;no;
260;422;Henry;Full Stack Developer
260;423;No;
261;424;Globant;.Net
262;425;soyHenry;Full Stack
262;426;No;
262;427;Rocket Radium;
263;428;Globant;Licenciatura en Psicologí?a, Aní¡lisis de sistemas, bioquí?mica
264;429;Coderhouse;Ux avanzado
265;430;Henry;Desarrollador full stack
266;431;No;No
267;432;no;no
267;433;Global Service Design Jam;
268;434;Alkemy;Aceleración .NET
269;435;Codo a Codo, Digitalers, Alkemy;Diseí±o UX
270;436;No;No
270;437;No;
271;438;No;No
271;439;UBA Emprende;
272;440;IxDA  (contesto ací¡ por que no estaba en el input anterior UNMDP la universidad;Ux
273;441;Digital House;Diseí±o UX
273;442;No;
274;443;Coderhouse;Diseí±o UX/UI
275;444;Coderhouse;Diseí±o UX
276;445;Globant;Backend dev - Java + Spring boot
276;446;no;
276;447;NO;
276;448;No;
277;449;No;No
278;450;ComunidaIT;Programador FullStack java
278;451;no;
278;452;No;
278;453;No;
278;454;No;
278;455;No;
279;456;No;No
280;457;Digital House, Codo a Codo;Desarrollo Web Full Stack
280;458;No;
280;459;no;
281;460;Digital House;Desarrollo Web Full Stak
282;461;Acamica;Desarrollador Full Stack
283;462;Soy henry;Data science
283;463;No;
283;464;no;
284;465;no;Licenciatura en Sistemas de la Informacion
285;466;freecodecamp;web developer
286;467;Coderhouse;Diseí±o UX/UI
286;468;No;
287;469;Código Facilito;Bases de datos
287;470;no;
287;471;Bo;
288;472;;Programa Digitalers de Telecom
289;473;Codo a codo;Full stack
290;474;QuantInsti EPAT;Trading Algoritmico
291;475;no;no
292;476;No;No
292;477;No;
293;478;Henry;Data scientist
294;479;Edrans;AWS
295;480;Acamica;Full stack developer
295;481;no;
295;482;No;
296;483;Acamica;Fullstack Web Development
297;484;Acamica pero lo abandoné (pd: estudio en la unahur, no en la unlam, pero no la tienen como opcion);Programacion full stack
298;485;ACíÅMICA;Full stack
299;486;CourseIT;Desarrollo Frontend y Backend
299;487;No;
299;488;No;
300;489;no;Full Stack Developer - DH
301;490;Egg;Curso full stack Java
302;491;ADA ITW;Desarrollo Backend
303;492;Digitalers;Programación con Python - Django
304;493;Plataforma 5;JavaScript Bootcamp
305;494;Egg;Programación Web Fullstack
305;495;No;
305;496;no;
306;497;Educacion IT;Software Test
307;498;Digital House;Desarrollador Full Stack
308;499;Acamica;Desarrollo Web Full Stack
309;500;Comunidad IT;Desarollo Web Java
309;501;no;
310;502;Altimetrik;Become a FrontEnd developer
310;503;no;
310;504;No;
311;505;no;no
311;506;no;
312;507;Egg;Full Stack developer
312;508;No;
312;509;No;
312;510;No.;
313;511;Devlights;Fully stack developer
313;512;No;
314;513;HACKATHON-SCHNEIDER ELECTRIC Y HACKATHON CAIXA-BANK , AMBOS DE ESPAí‘A;Machine Learning en Python nivel Avanzado - udemy
314;514;No;
314;515;Informatorio;
315;516;Escuela de Nuevas Tecnologias (EANT);Desarrollador Front End
315;517;No;
315;518;No;
315;519;no;
316;520;IBM;AIX Administration
316;521;NO;
317;522;digital house;fullstack developer
317;523;no;
318;524;Alkemy;Aceleración Java
319;525;CoderHouse;Desarrollo Frontend React
320;526;Digital House;Full-Stack Dev (Laravel-React)
320;527;No;
321;528;Henry;Data engineering
322;529;ada;frontend developer
323;530;no;no
323;531;no;
323;532;no;
323;533;no;
323;534;No;
323;535;No;
323;536;Jalasoft;
323;537;No;
324;538;Henry;Full stack
325;539;Netacad, skillsforall, educacionit, udemy.;Ndg linux, networking essentials, cibersecurity essentials, microsoft windows server 2019, subneting and vlans, Nagios monitoring, zabbix, centreon.
325;540;Globant;
326;541;Henry;Full Stack Developer
326;542;No;
327;543;No;No
328;544;Argentina Programa;Programacion desde cero
329;545;Radium Rocket;Become a software professional
330;546;;Ingenierí?a Informí¡tica
331;547;no;no
332;548;Globallogic;Bootcamp de ingreso
332;549;No;
332;550;No;
333;551;NAVE - IAE;Emprendedurismo
334;552;Coderhouse;Data Scientist
335;553;Labs XD;QA en salesforce
335;554;No;
335;555;No;
336;556;Comunidad IT;Desarrollo de APPs Web/Mobile
336;557;No;
337;558;Egg education;Programación full stack
338;559;Egg educación;Fullstack java
339;560;El de marcado libre;Data science
340;561;Skill Factory, Egg Cooperación;REACT Js, Programación Web Full Stack
340;562;No;
340;563;No;
341;564;No;No
341;565;No;
342;566;No;No
342;567;No;
343;568;Solvd;QA AUTOMATION
344;569;Le wagon;Fullstack development
344;570;No;
344;571;No;
345;572;EGG;Fullstack con spring
345;573;No;
346;574;Digital House;Full Stack
347;575;Digital House;Web Fullstack & iOS development
348;576;Coder house;Python
349;577;Utn;Programacion web full stack
350;578;No;No
350;579;No;
351;580;Rolling Code;Full stack developer MERN
352;581;No;No
353;582;Trama;Lic en administración de empresas
354;583;Digital house;Data science
355;584;Digital house;Full stack dev
356;585;Henry;Full stack
357;586;No;No
357;587;No;
357;588;No;
357;589;No;
357;590;No;
358;591;Henry;Full Stack Developer
359;592;Angela Yu - Udemy;The Complete iOS App Development Bootcamp
360;593;Si;Qa tester
361;594;San juan tec;Robotica
362;595;Nucba;Full stack developer
363;596;Argentina programa y un curso de la UTN;Programación basica y programación imperativa en python3
363;597;Logicalis;
364;598;Plataforma5;Html5,css y jscript
364;599;No;
364;600;No;
364;601;NO;
365;602;Unc;IA
365;603;No;
366;604;Alkemy y Alchemit;Developer software.net
367;605;No;No
368;606;Wolox educación;Hacek The Gap
369;607;Coder House;UX UI Designer
370;608;Coursera-Google;Auxiliar TI
371;609;Rooftop academy y Bedu;Android dev
372;610;No;No
373;611;Digital House;Certified Tech Developer (incompleto)
374;612;No;No
374;613;No;
375;614;Globant;Ni me acuerdo
376;615;Henry;Ciencia de datos
377;616;Digital house;Certified tech developer
378;617;Coderhouse;Ux Writing
379;618;Digital House;Desarrollo Full Stack node.js
380;619;Argentina programa;Desarrollo full stack
380;620;No;
380;621;r argentina programa;
381;622;Henry;Full stack
382;623;Codo a codo;Desarrollo web con django
383;624;Red Link organizo junto a la UTN;Full stack
383;625;No;
384;626;Utn;Programacion Web full stack
385;627;Humai;Cientí?fico de datos
385;628;No;
386;629;Digital House;Full Stack
386;630;Universidad: UNER - Universidad Nacional de Entre Rios;
387;631;No;No
388;632;Coderhouse;Ux design
388;633;No;
388;634;No;
389;635;Platzi;Front end y Front end en profundidad con React
390;636;Si;Si
391;637;Codo a Codo;QA Tester
391;638;No;
392;639;Digitalers - EducacionIT Fundación telecom;Data Scientist
392;640;No;
393;641;AdaITW y codo a codo;Front end y java fullstack
394;642;Si;Argentina Programa
395;643;henry;full stack
395;644;No;
395;645;Coursera/EdX;
395;646;No;
396;647;No;No
396;648;No;
396;649;No.;
396;650;No;
397;651;Escuela Directa;Python avanzado
397;652;No;
398;653;Egg;Full Stack en Java
398;654;No;
399;655;Alkmey;aceleración c#
400;656;Accenture;.net
401;657;Ntt data;Java talent camp
401;658;No;
401;659;No;
402;660;No;No
402;661;Quadion Technologies;
;662;;
;663;;
;664;;
;665;;
;666;;
;667;;
;668;;
;669;;
;670;;
;671;;
;672;;
;673;;
;674;;
;675;;
;676;;
;677;;
;678;;
;679;;
;680;;
;681;;
;682;;
;683;;
;684;;
;685;;
;686;;
;687;;
;688;;
;689;;
;690;;
;691;;
;692;;
;693;;
;694;;
;695;;
;696;;
;697;;
;698;;
;699;;
;700;;
;701;;
;702;;
;703;;
;704;;
;705;;
;706;;
;707;;
;708;;
;709;;
;710;;
;711;;
;712;;
;713;;
;714;;
;715;;
;716;;
;717;;
;718;;
;719;;
;720;;
;721;;
;722;;
;723;;
;724;;
;725;;
;726;;
;727;;
;728;;
;729;;
;730;;
;731;;
;732;;
;733;;
;734;;
;735;;
;736;;
;737;;
;738;;
;739;;
;740;;
;741;;
;742;;
;743;;
;744;;
;745;;
;746;;
;747;;
;748;;
;749;;
;750;;
;751;;
;752;;
;753;;
;754;;
;755;;
;756;;
;757;;
;758;;
;759;;
;760;;
;761;;
;762;;
;763;;
;764;;
;765;;
;766;;
;767;;
;768;;
;769;;
;770;;
;771;;
;772;;
;773;;
;774;;
;775;;
;776;;
;777;;
;778;;
;779;;
;780;;
;781;;
;782;;
;783;;
;784;;
;785;;
;786;;
;787;;
;788;;
;789;;
;790;;
;791;;
;792;;
;793;;
;794;;
;795;;
;796;;
;797;;
;798;;
;799;;
;800;;
;801;;
;802;;
;803;;
;804;;
;805;;
;806;;
;807;;
;808;;
;809;;
;810;;
;811;;
;812;;
;813;;
;814;;
;815;;
;816;;
;817;;
;818;;
;819;;
;820;;
;821;;
;822;;
;823;;
;824;;
;825;;
;826;;
;827;;
;828;;
;829;;
;830;;
;831;;
;832;;
;833;;
;834;;
;835;;
;836;;
;837;;
;838;;
;839;;
;840;;
;841;;
;842;;
;843;;
;844;;
;845;;
;846;;
;847;;
;848;;
;849;;
;850;;
;851;;
;852;;
;853;;
;854;;
;855;;
;856;;
;857;;
;858;;
;859;;
;860;;
;861;;
;862;;
;863;;
;864;;
;865;;
;866;;
;867;;
;868;;
;869;;
;870;;
;871;;
;872;;
;873;;
;874;;
;875;;
;876;;
;877;;
;878;;
;879;;
;880;;
;881;;
;882;;
;883;;
;884;;
;885;;
;886;;
;887;;
;888;;
;889;;
;890;;
;891;;
;892;;
;893;;
;894;;
;895;;
;896;;
;897;;
;898;;
;899;;
;900;;
;901;;
;902;;
;903;;
;904;;
;905;;
;906;;
;907;;
;908;;
;909;;
;910;;
;911;;
;912;;
;913;;
;914;;
;915;;
;916;;
;917;;
;918;;
;919;;
;920;;
;921;;
;922;;
;923;;
;924;;
;925;;
;926;;
;927;;
;928;;
;929;;
;930;;
;931;;
;932;;
;933;;
;934;;
;935;;
;936;;
;937;;
;938;;
;939;;
;940;;
;941;;
;942;;
;943;;
;944;;
;945;;
;946;;
;947;;
;948;;
;949;;
;950;;
;951;;
;952;;
;953;;
;954;;
;955;;
;956;;
;957;;
;958;;
;959;;
;960;;
;961;;
;962;;
;963;;
;964;;
;965;;
;966;;
;967;;
;968;;
;969;;
;970;;
;971;;
;972;;
;973;;
;974;;
;975;;
;976;;
;977;;
;978;;
;979;;
;980;;
;981;;
;982;;
;983;;
;984;;
;985;;
;986;;
;987;;
;988;;
;989;;
;990;;
;991;;
;992;;
;993;;
;994;;
;995;;
;996;;
;997;;
;998;;
;999;;
;1000;;
;1001;;
;1002;;
;1003;;
;1004;;
;1005;;
;1006;;
;1007;;
;1008;;
;1009;;
;1010;;
;1011;;
;1012;;
;1013;;
;1014;;
;1015;;
;1016;;
;1017;;
;1018;;
;1019;;
;1020;;
;1021;;
;1022;;
;1023;;
;1024;;
;1025;;
;1026;;
;1027;;
;1028;;
;1029;;
;1030;;
;1031;;
;1032;;
;1033;;
;1034;;
;1035;;
;1036;;
;1037;;
;1038;;
;1039;;
;1040;;
;1041;;
;1042;;
;1043;;
;1044;;
;1045;;
;1046;;
;1047;;
;1048;;
;1049;;
;1050;;
;1051;;
;1052;;
;1053;;
;1054;;
;1055;;
;1056;;
;1057;;
;1058;;
;1059;;
;1060;;
;1061;;
;1062;;
;1063;;
;1064;;
;1065;;
;1066;;
;1067;;
;1068;;
;1069;;
;1070;;
;1071;;
;1072;;
;1073;;
;1074;;
;1075;;
;1076;;
;1077;;
;1078;;
;1079;;
;1080;;
;1081;;
;1082;;
;1083;;
;1084;;
;1085;;
;1086;;
;1087;;
;1088;;
;1089;;
;1090;;
;1091;;
;1092;;
;1093;;
;1094;;
;1095;;
;1096;;
;1097;;
;1098;;
;1099;;
;1100;;
;1101;;
;1102;;
;1103;;
;1104;;
;1105;;
;1106;;
;1107;;
;1108;;
;1109;;
;1110;;
;1111;;
;1112;;
;1113;;
;1114;;
;1115;;
;1116;;
;1117;;
;1118;;
;1119;;
;1120;;
;1121;;
;1122;;
;1123;;
;1124;;
;1125;;
;1126;;
;1127;;
;1128;;
;1129;;
;1130;;
;1131;;
;1132;;
;1133;;
;1134;;
;1135;;
;1136;;
;1137;;
;1138;;
;1139;;
;1140;;
;1141;;
;1142;;
;1143;;
;1144;;
;1145;;
;1146;;
;1147;;
;1148;;
;1149;;
;1150;;
;1151;;
;1152;;
;1153;;
;1154;;
;1155;;
;1156;;
;1157;;
;1158;;
;1159;;
;1160;;
;1161;;
;1162;;
;1163;;
;1164;;
;1165;;
;1166;;
;1167;;
;1168;;
;1169;;
;1170;;
;1171;;
;1172;;
;1173;;
;1174;;
;1175;;
;1176;;
;1177;;
;1178;;
;1179;;
;1180;;
;1181;;
;1182;;
;1183;;
;1184;;
;1185;;
;1186;;
;1187;;
;1188;;
;1189;;
;1190;;
;1191;;
;1192;;
;1193;;
;1194;;
;1195;;
;1196;;
;1197;;
;1198;;
;1199;;
;1200;;
;1201;;
;1202;;
;1203;;
;1204;;
;1205;;
;1206;;
;1207;;
;1208;;
;1209;;
;1210;;
;1211;;
;1212;;
;1213;;
;1214;;
;1215;;
;1216;;
;1217;;
;1218;;
;1219;;
;1220;;
;1221;;
;1222;;
;1223;;
;1224;;
;1225;;
;1226;;
;1227;;
;1228;;
;1229;;
;1230;;
;1231;;
;1232;;
;1233;;
;1234;;
;1235;;
;1236;;
;1237;;
;1238;;
;1239;;
;1240;;
;1241;;
;1242;;
;1243;;
;1244;;
;1245;;
;1246;;
;1247;;
;1248;;
;1249;;
;1250;;
;1251;;
;1252;;
;1253;;
;1254;;
;1255;;
;1256;;
;1257;;
;1258;;
;1259;;
;1260;;
;1261;;
;1262;;
;1263;;
;1264;;
;1265;;
;1266;;
;1267;;
;1268;;
;1269;;
;1270;;
;1271;;
;1272;;
;1273;;
;1274;;
;1275;;
;1276;;
;1277;;
;1278;;
;1279;;
;1280;;
;1281;;
;1282;;
;1283;;
;1284;;
;1285;;
;1286;;
;1287;;
;1288;;
;1289;;
;1290;;
;1291;;
;1292;;
;1293;;
;1294;;
;1295;;
;1296;;
;1297;;
;1298;;
;1299;;
;1300;;
;1301;;
;1302;;
;1303;;
;1304;;
;1305;;
;1306;;
;1307;;
;1308;;
;1309;;
;1310;;
;1311;;
;1312;;
;1313;;
;1314;;
;1315;;
;1316;;
;1317;;
;1318;;
;1319;;
;1320;;
;1321;;
;1322;;
;1323;;
;1324;;
;1325;;
;1326;;
;1327;;
;1328;;
;1329;;
;1330;;
;1331;;
;1332;;
;1333;;
;1334;;
;1335;;
;1336;;
;1337;;
;1338;;
;1339;;
;1340;;
;1341;;
;1342;;
;1343;;
;1344;;
;1345;;
;1346;;
;1347;;
;1348;;
;1349;;
;1350;;
;1351;;
;1352;;
;1353;;
;1354;;
;1355;;
;1356;;
;1357;;
;1358;;
;1359;;
;1360;;
;1361;;
;1362;;
;1363;;
;1364;;
;1365;;
;1366;;
;1367;;
;1368;;
;1369;;
;1370;;
;1371;;
;1372;;
;1373;;
;1374;;
;1375;;
;1376;;
;1377;;
;1378;;
;1379;;
;1380;;
;1381;;
;1382;;
;1383;;
;1384;;
;1385;;
;1386;;
;1387;;
;1388;;
;1389;;
;1390;;
;1391;;
;1392;;
;1393;;
;1394;;
;1395;;
;1396;;
;1397;;
;1398;;
;1399;;
;1400;;
;1401;;
;1402;;
;1403;;
;1404;;
