ID_Estudio;ID_Encuestado;Nivel de estudio;Estado;Carrera;Universidad
70;170;Terciario;Completo;Diseí±o de Imí¡gen y Sonido;
70;171;;;;
70;172;;;;
70;173;;;;
71;174;Universitario;Completo;Ingenierí?a en Computación;
72;175;Universitario;Completo;Ingenierí?a Quí?mica;
72;176;;;;
73;177;Terciario;En curso;Tecnicatura en Programación;UB - Universidad de Belgrano
74;178;Universitario;En curso;Lic. en desarrollo de videojuegos;UADE - Universidad Argentina De la Empresa
74;179;;;;
74;180;;;;
74;181;;;;
74;182;;;;
74;183;;;;
74;184;;;;
74;185;;;;
74;186;;;;
75;187;Universitario;Incompleto;Ingenierí?a civil;UTN - Universidad Tecnológica Nacional
76;188;Universitario;En curso;Licenciatura en Economí?a;UNC - Universidad Nacional de Córdoba
77;189;Terciario;Completo;;
78;190;Universitario;Completo;Licenciatura en Sistemas de Información;UBA - Universidad de Buenos Aires
78;191;;;;
78;192;;;;
78;193;;;;
79;194;Universitario;En curso;Licenciatura en Economí?a;UNC - Universidad Nacional de Córdoba
80;195;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
81;196;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
82;197;Terciario;Incompleto;Tecnicatura en Programación;UNSAM - Universidad de San Martí?n
82;198;;;;
83;199;Universitario;Completo;Ingenierí?a en Telecomunicaciones;UBP - Universidad Blas Pascal
83;200;;;;
84;201;Universitario;Completo;Ingenierí?a Electrónica;UNR - Universidad Nacional de Rosario
84;202;;;;
84;203;;;;
85;204;Universitario;En curso;Licenciatura en Administración de Empresas de Sistemas y de Empresas;UP - Universidad de Palermo
85;205;;;;
85;206;;;;
85;207;;;;
85;208;;;;
86;209;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
86;210;;;;
87;211;Posgrado/Especialización;En curso;Ingenierí?a en Software;UTN - Universidad Tecnológica Nacional
88;212;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
88;213;;;;
89;214;Universitario;Completo;Licenciatura en Sistemas de Información;UBA - Universidad de Buenos Aires
89;215;;;;
90;216;Terciario;Incompleto;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional
90;217;;;;
90;218;;;;
90;219;;;;
91;220;Universitario;En curso;Licenciatura en Ciencias de la Computación;
91;221;;;;
92;222;Universitario;En curso;Licenciatura en Informí¡tica;Universidad Siglo 21
92;223;;;;
92;224;;;;
92;225;;;;
92;226;;;;
92;227;;;;
92;228;;;;
92;229;;;;
92;230;;;;
93;231;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UNLP - Universidad Nacional de La Plata
94;232;Secundario;Completo;;
94;233;;;;
94;234;;;;
94;235;;;;
94;236;;;;
95;237;Terciario;En curso;Analista de Sistemas;ISSD - Instituto Superior Santo Domingo
96;238;Universitario;Completo;Ingenierí?a en Sistemas de Información;UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires
97;239;Terciario;Completo;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional
97;240;;;;
97;241;;;;
98;242;Universitario;Completo;Ingenierí?a en Sistemas de Información;UNS - Universidad Nacional del Sur
98;243;;;;
99;244;Universitario;Completo;Ingenierí?a en Sistemas de Información;UAI - Universidad Abierta Interamericana
100;245;Universitario;En curso;Licenciatura en Sistemas de Información;UNGS - Universidad Nacional de General Sarmiento
100;246;;;;
101;247;Maestrí?a;En curso;Ingenierí?a en Sistemas de Información;IUA - Instituto Universitario Aeroní¡utico
101;248;;;;
101;249;;;;
102;250;Secundario;Incompleto;Tecnicatura en Programación;
102;251;;;;
103;252;Terciario;Completo;Diseí±o Grí¡fico;
104;253;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
104;254;;;;
104;255;;;;
104;256;;;;
105;257;Terciario;Completo;Tecnicatura en Desarrollo Web;UNLaM - Universidad Nacional de La Matanza
106;258;Universitario;En curso;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
106;259;;;;
106;260;;;;
106;261;;;;
107;262;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
108;263;Doctorado;En curso;Doctorado de la Universidad de Buenos Aires;UBA - Universidad de Buenos Aires
108;264;;;;
109;265;Universitario;En curso;Licenciatura en Informí¡tica;UNGS - Universidad Nacional de General Sarmiento
110;266;Terciario;Incompleto;Tecnicatura Superior en Aní¡lisis de Sistemas;
111;267;Universitario;En curso;Tecnicatura en Diseí±o Grí¡fico + Tecnicatura en Aní¡lisis de Sistemas Completos + Licenciatura en Gestión de Tecnologí?a En Curso;UNLaM - Universidad Nacional de La Matanza
112;268;Terciario;Completo;Analista Programador Universitario;UCAECE - Centro de Altos Estudios en Ciencias Exactas
113;269;Universitario;Completo;Licenciatura en Marketing;UCES - Universidad de Ciencias Empresariales y Sociales
114;270;Universitario;En curso;Licenciatura en Sistemas de Información;UP - Universidad de Palermo
115;271;Secundario;Completo;no hice carrera;
115;272;;;;
115;273;;;;
115;274;;;;
116;275;Terciario;En curso;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
116;276;;;;
117;277;Universitario;Completo;Ingenierí?a en Telecomunicaciones;UBP - Universidad Blas Pascal
118;278;Terciario;En curso;Técnico Universitario en Licenciatura en Administración de Empresas de Sistemas y Software Libre;UNCOMA - Universidad Nacional del Comahu
118;279;;;;
119;280;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
119;281;;;;
119;282;;;;
119;283;;;;
119;284;;;;
119;285;;;;
120;286;Universitario;Incompleto;Licenciatura en Informí¡tica;UNLP - Universidad Nacional de La Plata
120;287;;;;
120;288;;;;
120;289;;;;
121;290;Universitario;Incompleto;Licenciatura en Sistemas de Información;UNNNE - Universidad Nacional del Nordeste
121;291;;;;
122;292;Secundario;Completo;;
123;293;Universitario;Incompleto;Licenciatura en Sistemas de Información;UNNNE - Universidad Nacional del Nordeste
124;294;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
125;295;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;
125;296;;;;
125;297;;;;
125;298;;;;
125;299;;;;
125;300;;;;
125;301;;;;
126;302;Secundario;Incompleto;Licenciatura en Informí¡tica;
127;303;Universitario;Completo;Profesorado en Matemí¡ticas;UNC - Universidad Nacional de Córdoba
127;304;;;;
127;305;;;;
127;306;;;;
127;307;;;;
127;308;;;;
127;309;;;;
127;310;;;;
127;311;;;;
128;312;Universitario;Incompleto;Licenciatura en Sistemas de Información;UNLA - Universidad Nacional de Laníºs
129;313;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
130;314;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
131;315;Universitario;Completo;Analista Programador Universitario;UNLP - Universidad Nacional de La Plata
131;316;;;;
132;317;Universitario;Completo;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional
132;318;;;;
133;319;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
133;320;;;;
134;321;Universitario;Incompleto;Analista Programador Universitario;
135;322;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UAI - Universidad Abierta Interamericana
136;323;Terciario;Completo;Tecnicatura Superior en Programación;
137;324;Universitario;En curso;Ingenierí?a en Informí¡tica;ORT
137;325;;;;
138;326;Universitario;En curso;Licenciatura en Aní¡lisis de Sistemas;UBA - Universidad de Buenos Aires
138;327;;;;
138;328;;;;
139;329;Universitario;En curso;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
140;330;Universitario;Incompleto;Analista Universitario de Sistemas;UTN - Universidad Tecnológica Nacional
141;331;Universitario;En curso;Licenciatura en Psicologí?a;UBA - Universidad de Buenos Aires
141;332;;;;
142;333;Universitario;Completo;Licenciatura en Aní¡lisis de Sistemas;UADER - Universidad Autónoma de Entre Rí?os
142;334;;;;
142;335;;;;
142;336;;;;
142;337;;;;
143;338;Universitario;Incompleto;Licenciatura en Informí¡tica;UNLP - Universidad Nacional de La Plata
144;339;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
144;340;;;;
144;341;;;;
145;342;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
145;343;;;;
146;344;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
146;345;;;;
146;346;;;;
147;347;Universitario;Completo;Licenciatura en Aní¡lisis de Sistemas;UBA - Universidad de Buenos Aires
148;348;Universitario;Completo;Analista Programador;UNLP - Universidad Nacional de La Plata
149;349;Universitario;Completo;Ingenierí?a en mecatrónica;UNCUYO - Universidad Nacional de Cuyo
150;350;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
150;351;;;;
151;352;Universitario;Completo;Profesorado ciencias sociales;UBA - Universidad de Buenos Aires
151;353;;;;
152;354;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
153;355;Universitario;En curso;Licenciatura en Administración de Empresas;UBA - Universidad de Buenos Aires
154;356;Universitario;Completo;Analista de Sistemas;UAI - Universidad Abierta Interamericana
154;357;;;;
155;358;Universitario;Completo;Licenciatura en Sistemas de Información;UCAECE - Centro de Altos Estudios en Ciencias Exactas
155;359;;;;
156;360;Universitario;En curso;Ingenierí?a Civil;UTN - Universidad Tecnológica Nacional
157;361;Universitario;Completo;;UBA - Universidad de Buenos Aires
158;362;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
158;363;;;;
159;364;Universitario;Completo;Licenciatura en Informí¡tica;
160;365;Posgrado/Especialización;Completo;Ingenierí?a en Informí¡tica;
161;366;Maestrí?a;Completo;Ingenierí?a Industrial;UNL - Universidad Nacional del Litoral
162;367;Universitario;Completo;Licenciado en Relaciones del Trabajo;UBA - Universidad de Buenos Aires
163;368;Secundario;Completo;Tecnicatura Electrónica;UNLaM - Universidad Nacional de La Matanza
163;369;;;;
163;370;;;;
163;371;;;;
164;372;Universitario;Completo;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
165;373;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
166;374;Universitario;Completo;Analista de Sistemas;UK - Universidad Kennedy
166;375;;;;
167;376;Universitario;Completo;Ingenierí?a en Software;UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires
167;377;;;;
168;378;Terciario;Completo;Tecnicatura en Computación;UNS - Universidad Nacional del Sur
169;379;Universitario;Completo;Ingenierí?a en Informí¡tica;
170;380;Maestrí?a;En curso;Matemí¡tica;UCAECE - Centro de Altos Estudios en Ciencias Exactas
170;381;;;;
170;382;;;;
171;383;Doctorado;Completo;Ingenierí?a en Software;
172;384;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
172;385;;;;
173;386;Universitario;En curso;Ingenierí?a en Sistemas de Información;UAI - Universidad Abierta Interamericana
174;387;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
175;388;Posgrado/Especialización;Completo;Licenciatura en Psicologí?a;UCA - Universidad Católica Argentina
176;389;Maestrí?a;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
177;390;Universitario;En curso;Licenciatura en Sistemas de Información;UADE - Universidad Argentina De la Empresa
177;391;;;;
177;392;;;;
178;393;Terciario;En curso;Tecnicatura Superior en Sistemas Informí¡ticos;UTN - Universidad Tecnológica Nacional
179;394;Universitario;En curso;Actuario;UBA - Universidad de Buenos Aires
179;395;;;;
179;396;;;;
179;397;;;;
179;398;;;;
180;399;Terciario;Incompleto;Analista Programador;UTN - Universidad Tecnológica Nacional
180;400;;;;
181;401;Terciario;Completo;Tecnicatura en Informí¡tica;UTN - Universidad Tecnológica Nacional
182;402;Universitario;En curso;Licenciatura en Sistemas de Información;UP - Universidad de Palermo
182;403;;;;
182;404;;;;
182;405;;;;
182;406;;;;
183;407;Terciario;Incompleto;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
184;408;Universitario;En curso;Licenciatura en Ciencias Biológicas;UBA - Universidad de Buenos Aires
185;409;Terciario;Completo;Analista de Sistemas;
185;410;;;;
186;411;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
187;412;Terciario;Completo;Diseí±o Grí¡fico;
187;413;;;;
187;414;;;;
187;415;;;;
188;416;Universitario;Completo;Analista de Computación;UNC - Universidad Nacional de Córdoba
188;417;;;;
189;418;Terciario;Incompleto;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
189;419;;;;
189;420;;;;
190;421;Universitario;Incompleto;Ingenieria Biomedica;UNC - Universidad Nacional de Córdoba
191;422;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
192;423;Universitario;Incompleto;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
192;424;;;;
193;425;Universitario;Completo;Licenciado en Gestión de la Tecnologí?a;UNLaM - Universidad Nacional de La Matanza
193;426;;;;
193;427;;;;
194;428;Universitario;Completo;Analista Universitario de Sistemas;UNLaM - Universidad Nacional de La Matanza
195;429;Universitario;Completo;Licenciatura en Administración de Empresas;
196;430;Universitario;Incompleto;Ingenierí?a en Computación;UNLaM - Universidad Nacional de La Matanza
196;431;;;;
197;432;Universitario;Completo;Ingenierí?a en Software;Universidad Siglo 21
197;433;;;;
197;434;;;;
198;435;Secundario;Completo;Tecnicatura en Programación;
199;436;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
199;437;;;;
200;438;Secundario;Completo;;
201;439;Universitario;Completo;Analista de Computación;UNRC - Universidad Nacional de Rí?o Cuarto
201;440;;;;
201;441;;;;
202;442;Secundario;Completo;;
203;443;Universitario;En curso;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
204;444;Universitario;Completo;Ingenierí?a Industrial;UNL - Universidad Nacional del Litoral
204;445;;;;
204;446;;;;
204;447;;;;
204;448;;;;
205;449;Universitario;Completo;Licenciatura en Sistemas de Información;UK - Universidad Kennedy
206;450;Terciario;Completo;Analista de Sistemas;ORT
207;451;Universitario;Completo;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
208;452;Terciario;Incompleto;;
208;453;;;;
209;454;Universitario;Completo;Licenciatura en Licenciatura en Letras;UBA - Universidad de Buenos Aires
209;455;;;;
209;456;;;;
209;457;;;;
210;458;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
211;459;Universitario;Completo;Ingenierí?a en Mecatrónica;UNCUYO - Universidad Nacional de Cuyo
211;460;;;;
211;461;;;;
211;462;;;;
212;463;Secundario;Completo;;
212;464;;;;
213;465;Posgrado/Especialización;Completo;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
214;466;Universitario;Completo;Licenciatura en Sistemas de Información;UNLP - Universidad Nacional de La Plata
214;467;;;;
214;468;;;;
215;469;Universitario;En curso;Licenciatura en Ciencias Fí?sicas;UBA - Universidad de Buenos Aires
215;470;;;;
215;471;;;;
216;472;Terciario;Completo;Analista de Sistemas;ORT
216;473;;;;
217;474;Universitario;Completo;Licenciatura en Informí¡tica;Universidad Siglo 21
217;475;;;;
218;476;Universitario;Incompleto;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
218;477;;;;
218;478;;;;
218;479;;;;
219;480;Terciario;Incompleto;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
220;481;Terciario;En curso;Telecomunicaciones;ISSD - Instituto Superior Santo Domingo
221;482;Universitario;Incompleto;Diseí±o de Imí¡gen y Sonido;
222;483;Universitario;Incompleto;licenciatura en sociologí?a;UBA - Universidad de Buenos Aires
222;484;;;;
222;485;;;;
222;486;;;;
222;487;;;;
222;488;;;;
223;489;Universitario;Incompleto;Analista de Sistemas;UNGS - Universidad Nacional de General Sarmiento
223;490;;;;
223;491;;;;
223;492;;;;
224;493;Terciario;Incompleto;Analista Programador;
224;494;;;;
224;495;;;;
225;496;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
226;497;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
226;498;;;;
226;499;;;;
227;500;Terciario;Incompleto;Tecnicatura en redes;UNSAM - Universidad de San Martí?n
227;501;;;;
227;502;;;;
228;503;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
229;504;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
230;505;Universitario;En curso;Licenciatura en Sistemas de Información;UBA - Universidad de Buenos Aires
230;506;;;;
231;507;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
232;508;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
233;509;Terciario;En curso;Telecomunicaciones;Universidad Siglo 21
234;510;Universitario;Completo;Ingenierí?a en Sistemas de Información;IUA - Instituto Universitario Aeroní¡utico
234;511;;;;
234;512;;;;
235;513;Universitario;Completo;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
236;514;Universitario;Completo;Ingenierí?a Electrónica;UNC - Universidad Nacional de Córdoba
236;515;;;;
236;516;;;;
237;517;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
238;518;Universitario;Incompleto;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
238;519;;;;
238;520;;;;
238;521;;;;
238;522;;;;
239;523;Universitario;En curso;Ingenierí?a en Informí¡tica;UNQ - Universidad Nacional de Quilmes
239;524;;;;
240;525;Secundario;Completo;Tecnicatura en Informí¡tica;
241;526;Universitario;Incompleto;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
242;527;Doctorado;Completo;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
242;528;;;;
242;529;;;;
242;530;;;;
243;531;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
243;532;;;;
243;533;;;;
243;534;;;;
244;535;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
245;536;Terciario;Completo;Analista de Sistemas;ESBA - Escuela Superior Buenos Aires
246;537;Universitario;Completo;Licenciatura en Sistemas de Información;UNLP - Universidad Nacional de La Plata
246;538;;;;
246;539;;;;
246;540;;;;
246;541;;;;
247;542;Universitario;Completo;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
247;543;;;;
247;544;;;;
247;545;;;;
248;546;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
248;547;;;;
249;548;Universitario;Completo;Comercialización;UADE - Universidad Argentina De la Empresa
250;549;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
250;550;;;;
250;551;;;;
250;552;;;;
251;553;Universitario;En curso;Analista Universitario de Sistemas;UTN - Universidad Tecnológica Nacional
252;554;Universitario;En curso;Ciencia de Datos;UBA - Universidad de Buenos Aires
252;555;;;;
252;556;;;;
253;557;Terciario;En curso;Analista de Sistemas;
254;558;Universitario;En curso;Licenciatura en Relaciones del Trabajo;UCAECE - Centro de Altos Estudios en Ciencias Exactas
255;559;Universitario;Incompleto;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
255;560;;;;
256;561;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
256;562;;;;
257;563;Secundario;Incompleto;;
258;564;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
258;565;;;;
259;566;Terciario;En curso;Tecnicatura Superior en Aní¡lisis de Sistemas;
259;567;;;;
260;568;Universitario;Completo;Ingenierí?a en Telecomunicaciones;UNRC - Universidad Nacional de Rí?o Cuarto
260;569;;;;
260;570;;;;
260;571;;;;
261;572;Universitario;En curso;Ingenierí?a Quí?mica;UTN - Universidad Tecnológica Nacional
262;573;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
262;574;;;;
263;575;Posgrado/Especialización;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
263;576;;;;
263;577;;;;
263;578;;;;
263;579;;;;
263;580;;;;
263;581;;;;
264;582;Terciario;Incompleto;Tecnicatura en Programación;UNSAM - Universidad de San Martí?n
265;583;Terciario;Completo;Tecnico superior de sonido;
265;584;;;;
